ticker,cnpj,sector,industry
RDOR3,06047087000139,Saúde,Serviços Médicos Hospitalares
RENT3,16670085000155,Consumo Cíclico,Aluguel de Carros
ROMI3,56720428000163,Bens Industriais,Máquinas e Equipamentos Industriais
SANB11,90400888000142,Serviços Financeiros,Bancos
SANB3,90400888000142,Serviços Financeiros,Bancos
SBFG3,13217485000111,Consumo Cíclico,Produtos Diversos
SBSP3,43776517000180,Saneamento,Água e Saneamento
SEER3,04986320000113,Educação,Serviços Educacionais
SIMH3,07415333000120,Holdings,Holdings Diversificadas
SLCE3,89096457000155,Consumo Não Cíclico,Agricultura
SMFT3,07594978000178,Consumo Cíclico,Atividades Esportivas
SMTO3,51466860000156,Consumo Não Cíclico,Açúcar e Álcool
SOJA3,10807374000177,Consumo Não Cíclico,Agricultura
SUZB3,16404287000155,Materiais Básicos,Papel e Celulose
SYNE3,08801621000186,Construção e Imobiliário,Exploração de Imóveis
TAEE11,07859971000130,Energia,Energia Elétrica
TAEE3,07859971000130,Energia,Energia Elétrica
TEND3,71476527000135,Construção e Imobiliário,Incorporações
TFCO4,59418806000147,Consumo Cíclico,Vestuário
TGMA3,02351144000118,Bens Industriais,Transporte Rodoviário
TIMS3,02421421000111,Telecomunicações,Telecomunicações
TOTS3,53113791000122,Tecnologia,Programas e Serviços
TRIS3,08811643000127,Construção e Imobiliário,Incorporações
TTEN3,94813102000170,Consumo Não Cíclico,Agricultura
TUPY3,84683374000300,Consumo Cíclico,Material Rodoviário
UGPA3,33256439000139,Energia,"Exploração, Refino e Distribuição"
USIM3,60894730000105,Materiais Básicos,Siderurgia
VALE3,33592510000154,Materiais Básicos,Mineração de Minerais Metálicos
USIM5,60894730000105,Materiais Básicos,Siderurgia
VAMO3,23373000000132,Consumo Cíclico,Aluguel de Carros
VBBR3,34274233000102,Energia,"Exploração, Refino e Distribuição"
VITT3,45365558000109,Materiais Básicos,Fertilizantes e Defensivos
VIVA3,33839910000111,Consumo Cíclico,Acessórios
VIVT3,02558157000162,Telecomunicações,Telecomunicações
VLID3,33113309000147,Serviços,Serviços Diversos
VTRU3,20512706000140,Educação,Serviços Educacionais
VULC3,50926955000142,Consumo Cíclico,Calçados
VVEO3,12420164000157,Consumo Não Cíclico,Medicamentos e Outros Produtos
WEGE3,84429695000111,Bens Industriais,Máquinas e Equipamentos
YDUQ3,08807432000110,Educação,Serviços Educacionais
WIZC3,42278473000103,Serviços Financeiros,Corretoras de Seguros e Resseguros
