ticker,name,close,change,volume,market_cap,logo,sector,subsector,type,subtype,asset_class,turnover_proxy
BEPU39,ISHARES MSCI PERU AND GLOBAL EXPOSURE ETF,94.26,3.68,38.0,,https://icons.brapi.dev/icons/BRAPI.svg,Miscellaneous,,bdr,bdr,AÇÃO GLOBAL / BDR,3581.88
F1IS34,F1IS34,142.37,-0.72,38.0,153474015403.0161,https://icons.brapi.dev/icons/BRAPI.svg,Commercial Services,,bdr,bdr,AÇÃO GLOBAL / BDR,5410.06
REGN34,REGN34,68.74,-1.31,38.0,431506122043.6818,https://icons.brapi.dev/icons/BRAPI.svg,Health Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,2612.12
SHPH11,SHPH11,969.99,1.04,37.0,,https://icons.brapi.dev/icons/BRAPI.svg,Miscellaneous,Shoppings,fund,fii,FII,35889.63
HONB34,HONB34,1220.54,0.99,36.0,385651549204.3682,https://icons.brapi.dev/icons/BRAPI.svg,Producer Manufacturing,,bdr,bdr,AÇÃO GLOBAL / BDR,43939.44
CEED3F,CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D,7.3,0.0,36.0,500343950.0,https://icons.brapi.dev/icons/BRAPI.svg,Utilities,,stock,stock,AÇÃO B3,262.8
HIRE11,HIRE11,100.36,0.0,36.0,,https://icons.brapi.dev/icons/BRAPI.svg,,,fund,fii,FII,3612.96
T1EV34,T1EV34,90.9,4.88,36.0,223256742820.2471,https://icons.brapi.dev/icons/BRAPI.svg,Health Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,3272.4
LASC11,LASC11,110.94,-0.05,35.0,,https://icons.brapi.dev/icons/BRAPI.svg,,Shoppings,fund,fii,FII,3882.9
S1YK34,S1YK34,88.74,-1.49,34.0,680358413458.1382,https://icons.brapi.dev/icons/BRAPI.svg,Health Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,3017.16
AVLL3F,ALPHAVILLE S.A.,10.25,-0.1,33.0,82035526.0,https://icons.brapi.dev/icons/BRAPI.svg,Finance,,stock,stock,AÇÃO B3,338.25
MRSA6BF,MRS LOGISTICA S.A.,32.22,-5.76,33.0,12364402777.0,https://icons.brapi.dev/icons/BRAPI.svg,Transportation,,stock,stock,AÇÃO B3,1063.26
GEPA3F,RIO PARANAPANEMA ENERGIA S.A.,35.32,5.4,33.0,3373471635.0,https://icons.brapi.dev/icons/BRAPI.svg,Utilities,,stock,stock,AÇÃO B3,1165.56
HAAA11,HAAA11,55.99,0.0,33.0,,https://icons.brapi.dev/icons/BRAPI.svg,,Escritórios,fund,fii,FII,1847.67
BCHI39,ISHARES MSCI CHINA ETF,35.72,1.36,33.0,,https://icons.brapi.dev/icons/BRAPI.svg,Miscellaneous,,bdr,bdr,AÇÃO GLOBAL / BDR,1178.76
VVCO11,VVCO11,10.67,15.6,33.0,,https://icons.brapi.dev/icons/BRAPI.svg,,,fund,fii,FII,352.11
S1HW34,S1HW34,187.16,0.21,32.0,456418154097.76385,https://icons.brapi.dev/icons/BRAPI.svg,Process Industries,,bdr,bdr,AÇÃO GLOBAL / BDR,5989.12
UBSG34,UBSG34,70.28,1.01,32.0,840711913273.7748,https://icons.brapi.dev/icons/BRAPI.svg,Finance,,bdr,bdr,AÇÃO GLOBAL / BDR,2248.96
INGG34,INGG34,186.59,0.84,32.0,515056353028.2601,https://icons.brapi.dev/icons/BRAPI.svg,Finance,,bdr,bdr,AÇÃO GLOBAL / BDR,5970.88
Z1BR34,Z1BR34,66.46,0.82,32.0,93398578190.32762,https://icons.brapi.dev/icons/BRAPI.svg,Electronic Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,2126.72
ALMI11,ALMI11,575.01,0.29,32.0,,https://icons.brapi.dev/icons/BRAPI.svg,Miscellaneous,Escritórios,fund,fii,FII,18400.32
BARY39,ISHARES FUTURE AI & TECH ETF,202.6,0.7,31.0,,https://icons.brapi.dev/icons/BRAPI.svg,Miscellaneous,,bdr,bdr,AÇÃO GLOBAL / BDR,6280.599999999999
MTSA4F,METISA METALURGICA TIMBOENSE S.A.,46.95,-0.02,31.0,455352844.0,https://icons.brapi.dev/icons/BRAPI.svg,Producer Manufacturing,,stock,stock,AÇÃO B3,1455.45
M1KT34,M1KT34,16.84,0.12,31.0,29757483910.55642,https://icons.brapi.dev/icons/BRAPI.svg,Finance,,bdr,bdr,AÇÃO GLOBAL / BDR,522.04
I1FO34,I1FO34,31.77,0.57,31.0,258657150002.5591,https://icons.brapi.dev/icons/BRAPI.svg,Technology Services,,bdr,bdr,AÇÃO GLOBAL / BDR,984.87
U1RI34,U1RI34,215.87,3.32,31.0,362702472350.4941,https://icons.brapi.dev/icons/BRAPI.svg,Finance,,bdr,bdr,AÇÃO GLOBAL / BDR,6691.97
K1TC34,K1TC34,98.9,2.38,31.0,46206752571.190674,https://icons.brapi.dev/icons/BRAPI.svg,Communications,,bdr,bdr,AÇÃO GLOBAL / BDR,3065.9
G1AR34,G1AR34,233.94,-3.53,31.0,60193486105.0442,https://icons.brapi.dev/icons/BRAPI.svg,Technology Services,,bdr,bdr,AÇÃO GLOBAL / BDR,7252.14
S2TA34,S2TA34,38.4,0.31,31.0,37047676032.24129,https://icons.brapi.dev/icons/BRAPI.svg,Finance,,bdr,bdr,AÇÃO GLOBAL / BDR,1190.3999999999999
D2OC34,D2OC34,21.84,0.37,31.0,24646700650.026,https://icons.brapi.dev/icons/BRAPI.svg,Technology Services,,bdr,bdr,AÇÃO GLOBAL / BDR,677.04
P2CY34,P2CY34,25.06,0.72,30.0,42133798554.34218,https://icons.brapi.dev/icons/BRAPI.svg,Technology Services,,bdr,bdr,AÇÃO GLOBAL / BDR,751.8
BECH39,ISHARES MSCI CHILE ETF,69.86,0.5,30.0,,https://icons.brapi.dev/icons/BRAPI.svg,Miscellaneous,,bdr,bdr,AÇÃO GLOBAL / BDR,2095.8
