ticker,cnpj,company_name,sector,industry,market_cap,revenue,operating_income,net_income,equity,total_cash,total_debt,roe,operating_margin,profit_margin,debt_to_equity,revenue_growth,earnings_growth,earnings_yield,book_to_price,sales_yield,ev_to_ebit,raw_pe,raw_pb,raw_ev_ebitda,enterprise_value,ebitda,fcf,beta,trailing_eps,book_value_per_share,fundamental_source
AUAU3,,Uniao Pet Participacoes S.A.,Consumer Cyclical,Personal Services,2720108544.0,4000403968.0,448894016.0,133357000.0,3091937935.73,544313984.0,2283629056.0,0.065120004,0.06966,0.03334,0.7385753218428817,1.398,-0.186,0.049026352383678994,1.1408227885466822,1.470678064235366,9.912328953834841,,0.87656033,9.912,4449585152.0,448894016.0,156210496.0,,,3.605,Yahoo Finance
AURE3,,Auren Energia S.A.,Utilities,Utilities - Renewable,10498582528.0,13469154304.0,3083714048.0,-1089422976.0,11507699754.864,3638808064.0,23654223872.0,-0.076799996,0.14119,-0.08088,2.055512776304577,0.059,,-0.10376857762412019,1.0961193647681367,1.2829497951821025,10.299111770301213,,0.9123094,10.299,31759515648.0,3083714048.0,364952640.0,0.2,-1.04,11.016,Yahoo Finance
AXIA3,,AXIA Energia SA,Utilities,Utilities - Renewable,113560166400.0,44568350720.0,17948565504.0,12055711744.0,97158551151.474,23586426880.0,76453789696.0,0.10005999,0.40319002,0.2705,0.7868971777564441,0.097,,0.10495684961520195,0.8555688548980889,0.3924646478855459,10.908438982066073,9.527725,1.168813,10.908,195790831616.0,17948565504.0,1264715264.0,0.217,5.23,42.633,Yahoo Finance
AXIA7,,AXIA Energia SA,Utilities,Utilities - Renewable,113520465530.0,44568350720.0,17948565504.0,12055711744.0,97457065694.13751,23586426880.0,76453789696.0,0.10005999,0.40319002,0.2705,0.7844868830336541,0.097,,0.10619857562876223,0.8584977628406798,0.39260190232590214,10.881281358584054,,1.1648254,10.881,195303391232.0,17948565504.0,1264715264.0,0.217,,42.633,Yahoo Finance
AZEV3,,Azevedo & Travassos S.A.,Industrials,Engineering & Construction,483829376.0,549900032.0,51297000.0,-663766976.0,144055839.858,73738000.0,253264000.0,-1.11209,0.06227,-1.20707,1.7580960289402332,1.317,-0.978,-1.3719030073940777,0.8737931605762701,1.136557760395268,6.013028754118174,,1.1444356,6.013,308450336.0,51297000.0,285780384.0,,-20.51,3.801,Yahoo Finance
AZEV4,,Azevedo & Travassos S.A.,Industrials,Engineering & Construction,167949968.0,549900032.0,51297000.0,-663766976.0,278710936.287,73738000.0,253264000.0,-1.11209,0.06227,-1.20707,0.9086977474726853,1.317,-0.978,-3.952170898895319,2.5172187200018326,3.274189561024507,4.37216679337973,,0.39726385,4.372,224279040.0,51297000.0,285780384.0,,-20.51,3.801,Yahoo Finance
AZTE3,,Azevedo & Travassos Energia S.A.,Energy,Oil & Gas E&P,56016116.0,3538000.0,-3302000.0,-7794000.0,289723372.874,434000.0,2152000.0,-0.0394,-2.7005398,-2.20294,0.007427774910434649,1.488,,-0.1391385293475185,5.172143147337032,0.06316039476924819,,,0.19334345,-14.897,49191268.0,-3302000.0,-72321000.0,,-0.19,7.241,Yahoo Finance
AZZA3,,Azzas 2154 S.A.,Consumer Cyclical,Footwear & Accessories,3006355456.0,11365137408.0,1303888000.0,324176000.0,173309422030.574,1136126976.0,3973318912.0,0.03958,0.0444,0.02852,0.02292615638230595,-0.082,0.219,0.33557497416072696,57.647682842740984,3.780370476590776,2.2829152933380783,2.97996,0.017346751,2.283,2976665856.0,1303888000.0,962805888.0,,4.99,857.221,Yahoo Finance
B3SA3,,"B3 S.A. - Brasil, Bolsa, Balcão",Financial Services,Financial Data & Stock Exchanges,73216933888.0,10777143296.0,7260534784.0,5329711104.0,18656094347.646,15663472640.0,15465590784.0,0.27714002,0.64725,0.49453998,0.8289833067847573,0.088,0.33,0.0681663258350375,0.254805725158493,0.14719468193636467,10.075235044284033,14.67,3.9245586,10.075,73151594496.0,7260534784.0,4277547008.0,0.11,1.0,3.738,Yahoo Finance
BBAS3,,Banco do Brasil S.A.,Financial Services,Banks - Regional,104929083392.0,75029250048.0,,16381933568.0,183820012867.854,295502970880.0,1075951304704.0,0.105459996,0.24253,0.21834,5.853287070964838,0.002,-0.138,0.11697497566043193,1.7518499009398953,0.7150472263986286,,8.548837,0.57082516,,890065846272.0,,,0.234,2.15,32.199,Yahoo Finance
