ticker,asset_class,global_opportunity_score,final_decision,week
SNAG11,FIAGRO,77.72827771952547,NAO_COMPRARIA,2026-08-03
TECK11,ETF,77.57304184503968,NAO_COMPRARIA,2026-08-03
GOAT11,ETF,76.76784942779629,NAO_COMPRARIA,2026-08-03
ISNT11,ETF,76.09943202648662,NAO_COMPRARIA,2026-08-03
FGAA11,FIAGRO,74.81705421575279,NAO_COMPRARIA,2026-08-03
XPCA11,FIAGRO,72.43381237278727,NAO_COMPRARIA,2026-08-03
ENDD11,FIP,70.7722009772679,NAO_COMPRARIA,2026-08-03
VHFA11,FIAGRO,70.07548366537141,NAO_COMPRARIA,2026-08-03
RIFF11,FI-INFRA,69.62600382409178,NAO_COMPRARIA,2026-08-03
NEXG11,FIAGRO,67.77652192684883,NAO_COMPRARIA,2026-08-03
EGAF11,FIAGRO,65.49942844219659,NAO_COMPRARIA,2026-08-03
KNCA11,FIAGRO,63.13677707189703,NAO_COMPRARIA,2026-08-03
BRZP11,FIP,62.93669003611642,NAO_COMPRARIA,2026-08-03
JURO11,FI-INFRA,62.57931803696622,NAO_COMPRARIA,2026-08-03
AAGR11,FIAGRO,60.78081889019099,NAO_COMPRARIA,2026-08-03
