date,horizon,source,portfolio,n,stock_return,ibov_return,gross_alpha_vs_ibov,net_alpha_vs_ibov,cdi_return,net_excess_vs_cdi
2023-07-24,5,ranker_v2,top5,5,0.01865625676603091,0.004952942921659487,0.013703313844371423,0.011703313844371423,0.002541980731312954,0.014114276034717953
2023-07-24,5,ranker_v2,top10,10,0.020179878860653578,0.004952942921659487,0.015226935938994091,0.013226935938994091,0.002541980731312954,0.015637898129340626
2023-07-24,5,ranker_v2,top20,20,0.017251577942626654,0.004952942921659487,0.01229863502096717,0.01029863502096717,0.002541980731312954,0.0127095972113137
2023-07-24,5,ranker_v2,top_decile,11,0.021922309781829134,0.004952942921659487,0.016969366860169647,0.014969366860169647,0.002541980731312954,0.01738032905051618
2023-07-24,5,momentum_126_baseline,top10,10,0.024923263824168096,0.004952942921659487,0.01997032090250861,0.017970320902508607,0.002541980731312954,0.02038128309285514
2023-07-31,5,ranker_v2,top5,5,0.004765356020098732,-0.02101801661431979,0.025783372634418524,0.02378337263441852,0.0024893448554390574,0.0002760111646596744
2023-07-31,5,ranker_v2,top10,10,0.0035086869818615972,-0.02101801661431979,0.024526703596181386,0.022526703596181384,0.0024893448554390574,-0.0009806578735774602
2023-07-31,5,ranker_v2,top20,20,0.0017002627956164695,-0.02101801661431979,0.02271827940993626,0.020718279409936258,0.0024893448554390574,-0.002789082059822588
2023-07-31,5,ranker_v2,top_decile,11,4.584716253076447e-06,-0.02101801661431979,0.021022601330572866,0.019022601330572868,0.0024893448554390574,-0.004484760139185981
2023-07-31,5,momentum_126_baseline,top10,10,0.002927464043122785,-0.02101801661431979,0.023945480657442574,0.021945480657442576,0.0024893448554390574,-0.0015618808123162723
2023-08-07,5,ranker_v2,top5,5,-0.06453905316566078,-0.021527894119617974,-0.0430111590460428,-0.045011159046042803,0.002454255806815686,-0.06899330897247646
2023-08-07,5,ranker_v2,top10,10,-0.039075026667709366,-0.021527894119617974,-0.01754713254809139,-0.019547132548091394,0.002454255806815686,-0.043529282474525054
