ticker,sector,datetime,prob_20d,threshold_20d,confirm_20d,prob_60d,threshold_60d,confirm_60d,opportunity_probability_score,opportunity_confirm,opportunity_status
ABCB4,Financial Services,2026-08-07,0.34609710327422083,0.65,False,0.3258391010390161,0.65,False,33.59681021566184,False,NAO_CONFIRMA
ABEV3,Consumer Defensive,2026-08-07,0.34609710327422083,0.65,False,0.3258391010390161,0.65,False,33.59681021566184,False,NAO_CONFIRMA
ALLD3,Technology,2026-08-07,0.34609710327422083,0.65,False,0.31504929687925187,0.65,False,33.05732000767364,False,NAO_CONFIRMA
ALOS3,Real Estate,2026-08-07,0.35135068454850055,0.65,False,0.3353531966529569,0.65,False,34.33519406007287,False,NAO_CONFIRMA
ALPA4,Consumer Cyclical,2026-08-07,0.32546947179719926,0.65,False,0.3100880918884098,0.65,False,31.77787818428045,False,NAO_CONFIRMA
ALUP11,Utilities,2026-08-07,0.34609710327422083,0.65,False,0.3258391010390161,0.65,False,33.59681021566184,False,NAO_CONFIRMA
AMAR3,Consumer Cyclical,2026-08-07,0.3426340769343097,0.65,False,0.30507969690843467,0.65,False,32.385688692137215,False,NAO_CONFIRMA
AMBP3,Industrials,2026-08-07,0.3374290679532534,0.65,False,0.30507969690843467,0.65,False,32.1254382430844,False,NAO_CONFIRMA
AMER3,Consumer Cyclical,2026-08-07,0.3374290679532534,0.65,False,0.3093934032887713,0.65,False,32.34112356210124,False,NAO_CONFIRMA
ANIM3,Consumer Defensive,2026-08-07,0.3403698837405959,0.65,False,0.30507969690843467,0.65,False,32.27247903245153,False,NAO_CONFIRMA
ARML3,Industrials,2026-08-07,0.3374290679532534,0.65,False,0.32008002260063456,0.65,False,32.875454527694394,False,NAO_CONFIRMA
ASAI3,Consumer Defensive,2026-08-07,0.34234242293812,0.65,False,0.3093934032887713,0.65,False,32.58679131134456,False,NAO_CONFIRMA
AURE3,Utilities,2026-08-07,0.34609710327422083,0.65,False,0.32008002260063456,0.65,False,33.30885629374277,False,NAO_CONFIRMA
AXIA3,Utilities,2026-08-07,0.34609710327422083,0.65,False,0.338992009939432,0.65,False,34.254455660682645,False,NAO_CONFIRMA
AZEV3,Industrials,2026-08-07,0.3270513199834737,0.65,False,0.2945637857472719,0.65,False,31.080755286537276,False,NAO_CONFIRMA
AZEV4,Industrials,2026-08-07,0.33925031679859413,0.65,False,0.30280245443071624,0.65,False,32.10263856146552,False,NAO_CONFIRMA
AZZA3,Consumer Cyclical,2026-08-07,0.34234242293812,0.65,False,0.30507969690843467,0.65,False,32.37110599232773,False,NAO_CONFIRMA
B3SA3,Financial Services,2026-08-07,0.34609710327422083,0.65,False,0.32008002260063456,0.65,False,33.30885629374277,False,NAO_CONFIRMA
BBAS3,Financial Services,2026-08-07,0.34609710327422083,0.65,False,0.3258391010390161,0.65,False,33.59681021566184,False,NAO_CONFIRMA
BBDC3,Financial Services,2026-08-07,0.43186004662565675,0.65,False,0.31464869044612065,0.65,False,37.32543685358887,False,NAO_CONFIRMA
BBDC4,Financial Services,2026-08-07,0.43086806609846556,0.65,False,0.31464869044612065,0.65,False,37.27583782722931,False,NAO_CONFIRMA
BBSE3,Financial Services,2026-08-07,0.3179632996843193,0.65,False,0.3172588664087843,0.65,False,31.761108304655185,False,NAO_CONFIRMA
BEEF3,Consumer Defensive,2026-08-07,0.34234242293812,0.65,False,0.3093934032887713,0.65,False,32.58679131134456,False,NAO_CONFIRMA
BHIA3,Consumer Cyclical,2026-08-07,0.3426340769343097,0.65,False,0.3127951414271398,0.65,False,32.77146091807248,False,NAO_CONFIRMA
BLAU3,Healthcare,2026-08-07,0.34609710327422083,0.65,False,0.32008002260063456,0.65,False,33.30885629374277,False,NAO_CONFIRMA
BMGB4,Financial Services,2026-08-07,0.3297819261720273,0.65,False,0.3216447184029102,0.65,False,32.571332228746876,False,NAO_CONFIRMA
BMOB3,Communication Services,2026-08-07,0.34609710327422083,0.65,False,0.32008002260063456,0.65,False,33.30885629374277,False,NAO_CONFIRMA
BPAC11,Financial Services,2026-08-07,0.34609710327422083,0.65,False,0.32008002260063456,0.65,False,33.30885629374277,False,NAO_CONFIRMA
BRAP4,Financial Services,2026-08-07,0.34609710327422083,0.65,False,0.3409592691735176,0.65,False,34.35281862238692,False,NAO_CONFIRMA
BRAV3,Energy,2026-08-07,0.34335639784755084,0.65,False,0.31158135012745536,0.65,False,32.74688739875031,False,NAO_CONFIRMA
BRBI11,Financial Services,2026-08-07,0.34609710327422083,0.65,False,0.32008002260063456,0.65,False,33.30885629374277,False,NAO_CONFIRMA
BRKM5,Basic Materials,2026-08-07,0.3384644421295283,0.65,False,0.3294800368238168,0.65,False,33.39722394766726,False,NAO_CONFIRMA
BRSR6,Financial Services,2026-08-07,0.34609710327422083,0.65,False,0.3258391010390161,0.65,False,33.59681021566184,False,NAO_CONFIRMA
CAML3,Consumer Defensive,2026-08-07,0.3374290679532534,0.65,False,0.32008002260063456,0.65,False,32.875454527694394,False,NAO_CONFIRMA
CASH3,Communication Services,2026-08-07,0.3096661970176878,0.65,False,0.31158135012745536,0.65,False,31.06237735725716,False,NAO_CONFIRMA
CBAV3,Basic Materials,2026-08-07,0.32523799013206833,0.65,False,0.31467628332425673,0.65,False,31.99571367281625,False,NAO_CONFIRMA
CEAB3,Consumer Cyclical,2026-08-07,0.3374290679532534,0.65,False,0.30507969690843467,0.65,False,32.1254382430844,False,NAO_CONFIRMA
CMIG4,Utilities,2026-08-07,0.34609710327422083,0.65,False,0.3258391010390161,0.65,False,33.59681021566184,False,NAO_CONFIRMA
CMIN3,Basic Materials,2026-08-07,0.32360652266728246,0.65,False,0.3183484872030862,0.65,False,32.097750493518426,False,NAO_CONFIRMA
COGN3,Consumer Defensive,2026-08-07,0.34609710327422083,0.65,False,0.32008002260063456,0.65,False,33.30885629374277,False,NAO_CONFIRMA
CPFE3,Utilities,2026-08-07,0.34609710327422083,0.65,False,0.3258391010390161,0.65,False,33.59681021566184,False,NAO_CONFIRMA
CPLE3,Utilities,2026-08-07,0.3297819261720273,0.65,False,0.3258391010390161,0.65,False,32.78105136055217,False,NAO_CONFIRMA
CSAN3,Energy,2026-08-07,0.34234242293812,0.65,False,0.30507969690843467,0.65,False,32.37110599232773,False,NAO_CONFIRMA
CSED3,Consumer Defensive,2026-08-07,0.34234242293812,0.65,False,0.32008002260063456,0.65,False,33.12112227693773,False,NAO_CONFIRMA
CSMG3,Utilities,2026-08-07,0.31436709982240785,0.65,False,0.30748679093670245,0.65,False,31.092694537955513,False,NAO_CONFIRMA
CSNA3,Basic Materials,2026-08-07,0.3407225072717612,0.65,False,0.32154560709373803,0.65,False,33.113405718274954,False,NAO_CONFIRMA
CURY3,Real Estate,2026-08-07,0.34756930417793247,0.65,False,0.329508150477981,0.65,False,33.85387273279568,False,NAO_CONFIRMA
CVCB3,Consumer Cyclical,2026-08-07,0.3374290679532534,0.65,False,0.30507969690843467,0.65,False,32.1254382430844,False,NAO_CONFIRMA
CXSE3,Financial Services,2026-08-07,0.3179632996843193,0.65,False,0.3084726943308389,0.65,False,31.321799700757914,False,NAO_CONFIRMA
CYRE3,Consumer Cyclical,2026-08-07,0.34609710327422083,0.65,False,0.32008002260063456,0.65,False,33.30885629374277,False,NAO_CONFIRMA
DASA3,Healthcare,2026-08-07,0.3374290679532534,0.65,False,0.3204710700783501,0.65,False,32.89500690158017,False,NAO_CONFIRMA
DESK3,Communication Services,2026-08-07,0.3297819261720273,0.65,False,0.3216447184029102,0.65,False,32.571332228746876,False,NAO_CONFIRMA
DIRR3,Real Estate,2026-08-07,0.34756930417793247,0.65,False,0.329508150477981,0.65,False,33.85387273279568,False,NAO_CONFIRMA
DXCO3,Basic Materials,2026-08-07,0.34417632878728094,0.65,False,0.3324499104884342,0.65,False,33.83131196378576,False,NAO_CONFIRMA
ECOR3,Industrials,2026-08-07,0.3374290679532534,0.65,False,0.32008002260063456,0.65,False,32.875454527694394,False,NAO_CONFIRMA
EGIE3,Utilities,2026-08-07,0.34609710327422083,0.65,False,0.32008002260063456,0.65,False,33.30885629374277,False,NAO_CONFIRMA
EMBJ3,Industrials,2026-08-07,0.33398514707483895,0.65,False,0.31158135012745536,0.65,False,32.278324860114715,False,NAO_CONFIRMA
ENEV3,Utilities,2026-08-07,0.3297819261720273,0.65,False,0.3159250333536186,0.65,False,32.285347976282296,False,NAO_CONFIRMA
ENGI11,Utilities,2026-08-07,0.34609710327422083,0.65,False,0.3258391010390161,0.65,False,33.59681021566184,False,NAO_CONFIRMA
ENJU3,Consumer Cyclical,2026-08-07,0.3374290679532534,0.65,False,0.32008002260063456,0.65,False,32.875454527694394,False,NAO_CONFIRMA
EQTL3,Utilities,2026-08-07,0.34609710327422083,0.65,False,0.3258391010390161,0.65,False,33.59681021566184,False,NAO_CONFIRMA
EVEN3,Real Estate,2026-08-07,0.3426200137861752,0.65,False,0.3186542773011465,0.65,False,33.063714554366086,False,NAO_CONFIRMA
EZTC3,Real Estate,2026-08-07,0.35135068454850055,0.65,False,0.329508150477981,0.65,False,34.04294175132407,False,NAO_CONFIRMA
FESA4,Basic Materials,2026-08-07,0.34417632878728094,0.65,False,0.3324499104884342,0.65,False,33.83131196378576,False,NAO_CONFIRMA
