date,top10_alpha_20d,top10_stock_return_20d,ibov_return_20d
2025-04-02,0.06864585478729623,0.08618530139145808,0.017539446604161846
2025-05-05,-0.06326291922339389,-0.038572116098089526,0.02469080312530436
2025-06-02,0.0033693124160890766,0.023561289723874067,0.020191977307784992
2025-07-01,0.00040597289906083576,-0.04848724740348522,-0.04889322030254606
2025-07-29,-0.02814612273659204,0.009864515721585055,0.03801063845817709
2025-08-26,-0.03137383839769801,0.03144054198714354,0.06281438038484155
2025-09-23,-0.06177922180782717,-0.07776009939020725,-0.015980877582380093
2025-10-21,-0.0010703077188130683,0.08524679676812179,0.08631710448693486
2025-11-18,0.11539945482741147,0.12054250181122197,0.0051430469838105175
2025-12-17,-0.004712216639730038,0.052175666558958056,0.056887883198688094
2026-01-20,0.009151022667402753,0.1430059755472357,0.13385495287983296
2026-02-19,-0.0808109396083531,-0.1246385781244828,-0.0438276385161297
2026-03-19,0.06488200152108807,0.1506584159194107,0.08577641439832262
2026-04-17,-0.04051821112798064,-0.150131257405071,-0.10961304627709034
2026-05-19,-0.060928225642778354,-0.0943516444138294,-0.03342341877105104
2026-06-17,-0.13532704586830852,-0.09046613428413715,0.04486091158417138
