horizon,fold,chosen_fraction,test_base_rate,test_precision,test_precision_lift,test_net_alpha_vs_ibov,test_net_excess_vs_cdi,test_periods,test_start,test_end
20,1,0.25,0.33641509433962263,0.37037037037037035,0.033955276030747716,-0.006491095066969317,-0.009264522431655608,13,2023-07-10,2024-07-03
20,2,0.05,0.35962264150943396,0.34615384615384615,-0.013468795355587815,-0.018666228841328777,-0.023729863109526465,13,2024-07-10,2025-07-04
20,3,0.1,0.3347169811320755,0.31468531468531463,-0.020031666446760854,-0.030641840863953013,-0.02112853021040989,13,2025-07-11,2026-07-06
60,1,0.1,0.3180031446540881,0.2954545454545454,-0.022548599199542663,-0.03832892823839035,-0.051427767402503155,4,2023-06-12,2024-05-21
60,2,0.1,0.3700423565652676,0.2909090909090909,-0.07913326565617673,0.08993151560057437,0.08316309583165818,5,2024-05-28,2025-05-15
60,3,0.2,0.29591836734693877,0.3363636363636363,0.04044526901669754,-0.024599302658424423,-0.0015235209071441437,5,2025-05-22,2026-05-08
