ticker,sector,datetime,prediction_5d,score_5d,prediction_20d,score_20d,prediction_60d,score_60d,qlib_v2_ensemble_score,qlib_v2_confirm,qlib_v2_status
ABCB4,Financial Services,2026-08-07,-0.14086387030252082,7.0754716981132075,-0.07210412615329787,75.47169811320755,-0.2022718965146091,59.43396226415094,47.32704402515723,False,NAO_CONFIRMA
ABEV3,Consumer Defensive,2026-08-07,-0.1287803913556445,60.84905660377359,-0.1836977434140101,44.339622641509436,-0.13438485582898424,72.64150943396226,59.276729559748425,False,NAO_CONFIRMA
ALLD3,Technology,2026-08-07,-0.13522561919663273,22.641509433962266,-0.21635514368601522,33.9622641509434,-0.19050461425574267,63.20754716981132,39.937106918238996,False,NAO_CONFIRMA
ALOS3,Real Estate,2026-08-07,-0.14086387030252082,7.0754716981132075,-0.020351811091504184,86.79245283018868,0.008344223481210934,89.62264150943396,61.16352201257862,False,NAO_CONFIRMA
ALPA4,Consumer Cyclical,2026-08-07,0.04742962758872365,96.22641509433963,0.1985573543011219,98.11320754716981,0.03020303316291786,92.45283018867924,95.59748427672956,False,NAO_CONFIRMA
ALUP11,Utilities,2026-08-07,-0.1376993806518738,14.622641509433961,-0.10348180785985962,60.37735849056604,-0.19367079832030237,62.264150943396224,45.75471698113208,False,NAO_CONFIRMA
AMAR3,Consumer Cyclical,2026-08-07,-0.1323341939515785,42.924528301886795,-0.25158111661349175,2.358490566037736,-0.5758695319958654,1.8867924528301887,15.723270440251573,False,NAO_CONFIRMA
AMBP3,Industrials,2026-08-07,-0.1323341939515785,42.924528301886795,-0.23714424000200515,8.49056603773585,-0.49016440405090356,10.377358490566039,20.59748427672956,False,NAO_CONFIRMA
AMER3,Consumer Cyclical,2026-08-07,-0.13480795540681956,30.18867924528302,-0.25158111661349175,2.358490566037736,-0.5173676539092255,5.660377358490567,12.735849056603774,False,NAO_CONFIRMA
ANIM3,Consumer Defensive,2026-08-07,-0.1323341939515785,42.924528301886795,-0.06798335786196717,77.35849056603774,-0.5510136158976319,3.7735849056603774,41.35220125786164,False,NAO_CONFIRMA
ARML3,Industrials,2026-08-07,-0.13072031893863514,57.54716981132076,-0.13165086648280688,50.943396226415096,-0.35383242128839426,32.075471698113205,46.855345911949684,False,NAO_CONFIRMA
ASAI3,Consumer Defensive,2026-08-07,-0.13480795540681956,30.18867924528302,-0.21940649199865309,28.30188679245283,-0.34868032547004396,33.9622641509434,30.81761006289308,False,NAO_CONFIRMA
AURE3,Utilities,2026-08-07,-0.13072031893863514,57.54716981132076,-0.20473692650680436,37.735849056603776,-0.3224191641205132,40.56603773584906,45.28301886792453,False,NAO_CONFIRMA
AXIA3,Utilities,2026-08-07,-0.006588835099126797,81.13207547169812,0.1392956516348569,96.22641509433963,0.04354102549614611,93.39622641509435,90.25157232704403,False,NAO_CONFIRMA
AZEV3,Industrials,2026-08-07,-0.09273554893610078,78.30188679245283,-0.21774731472453326,32.075471698113205,-0.448630830821817,13.20754716981132,41.19496855345912,False,NAO_CONFIRMA
AZEV4,Industrials,2026-08-07,-0.10112281005790355,76.41509433962264,-0.19996707456707627,38.67924528301887,-0.46151422348089205,12.264150943396226,42.45283018867925,False,NAO_CONFIRMA
AZZA3,Consumer Cyclical,2026-08-07,-0.1323341939515785,42.924528301886795,-0.2437539748927819,5.188679245283019,-0.3724458740112136,29.71698113207547,25.943396226415093,False,NAO_CONFIRMA
B3SA3,Financial Services,2026-08-07,-0.12498860939516596,66.98113207547169,-0.07300637893918001,74.52830188679245,-0.285187893152268,43.39622641509434,61.63522012578616,False,NAO_CONFIRMA
BBAS3,Financial Services,2026-08-07,-0.1376993806518738,14.622641509433961,-0.10482661633139291,58.490566037735846,-0.18511506041851702,65.09433962264151,46.06918238993711,False,NAO_CONFIRMA
BBDC3,Financial Services,2026-08-07,-0.11740717690441824,72.16981132075472,-0.10232197496392635,63.20754716981132,-0.18511506041851702,65.09433962264151,66.82389937106919,False,NAO_CONFIRMA
BBDC4,Financial Services,2026-08-07,-0.11740717690441824,72.16981132075472,-0.0881402738906354,70.75471698113208,-0.2143224795131845,55.660377358490564,66.19496855345912,False,NAO_CONFIRMA
BBSE3,Financial Services,2026-08-07,-0.14282538333990014,2.8301886792452833,-0.09999772616730668,65.09433962264151,-0.10739115192952446,73.58490566037736,47.16981132075472,False,NAO_CONFIRMA
BEEF3,Consumer Defensive,2026-08-07,-0.13522561919663273,22.641509433962266,-0.2293170982812953,18.39622641509434,-0.26567710283866425,48.113207547169814,29.71698113207547,False,NAO_CONFIRMA
BHIA3,Consumer Cyclical,2026-08-07,0.10762005824397047,100.0,-0.038001582709815754,83.01886792452831,-0.2671130965982398,47.16981132075472,76.72955974842768,False,NAO_CONFIRMA
BLAU3,Healthcare,2026-08-07,-0.1376993806518738,14.622641509433961,-0.21940649199865309,28.30188679245283,-0.43684272517389044,15.09433962264151,19.339622641509436,False,NAO_CONFIRMA
BMGB4,Financial Services,2026-08-07,0.015150108491628381,93.39622641509435,-0.060774184689629404,81.13207547169812,0.0230160914046576,90.56603773584906,88.36477987421385,False,NAO_CONFIRMA
BMOB3,Communication Services,2026-08-07,-0.14282538333990014,2.8301886792452833,-0.17966428261715567,45.28301886792453,-0.22301689910353037,52.83018867924528,33.64779874213837,False,NAO_CONFIRMA
BPAC11,Financial Services,2026-08-07,-0.11740717690441824,72.16981132075472,-0.02789310767500572,84.90566037735849,0.0021464561178504787,87.73584905660378,81.60377358490565,False,NAO_CONFIRMA
BRAP4,Financial Services,2026-08-07,0.03043637802742704,94.33962264150944,0.26310541246808905,100.0,0.09652508783079677,95.28301886792453,96.54088050314465,False,NAO_CONFIRMA
BRAV3,Energy,2026-08-07,-0.13480795540681956,30.18867924528302,-0.1990553896724724,41.509433962264154,-0.4182223994468793,21.69811320754717,31.132075471698116,False,NAO_CONFIRMA
BRBI11,Financial Services,2026-08-07,-0.1323341939515785,42.924528301886795,-0.2293170982812953,18.39622641509434,-0.3420895751850119,36.79245283018868,32.704402515723274,False,NAO_CONFIRMA
BRKM5,Basic Materials,2026-08-07,0.08293601304761293,99.05660377358491,-0.2212653651341042,24.528301886792452,-0.28037840513537476,44.339622641509436,55.9748427672956,False,NAO_CONFIRMA
BRSR6,Financial Services,2026-08-07,-0.14086387030252082,7.0754716981132075,-0.023907690587213273,85.84905660377359,-0.009650238133057449,86.79245283018868,59.905660377358494,False,NAO_CONFIRMA
CAML3,Consumer Defensive,2026-08-07,-0.12824655748339409,62.735849056603776,-0.1515459272486837,48.113207547169814,-0.4349413199633498,16.037735849056602,42.29559748427673,False,NAO_CONFIRMA
CASH3,Communication Services,2026-08-07,-0.0703174205769144,79.24528301886792,0.044171049979422415,91.50943396226415,-0.5066698835352398,7.547169811320755,59.43396226415094,False,NAO_CONFIRMA
CBAV3,Basic Materials,2026-08-07,0.01030309583195294,88.67924528301887,0.003715670356678549,89.62264150943396,0.2794484626506587,99.05660377358491,92.45283018867924,False,NAO_CONFIRMA
CEAB3,Consumer Cyclical,2026-08-07,-0.13480795540681956,30.18867924528302,-0.2437539748927819,5.188679245283019,-0.43094775209785374,17.452830188679243,17.61006289308176,False,NAO_CONFIRMA
CMIG4,Utilities,2026-08-07,-0.14282538333990014,2.8301886792452833,-0.12033549719885354,53.77358490566038,-0.2186576202178746,53.77358490566038,36.79245283018868,False,NAO_CONFIRMA
CMIN3,Basic Materials,2026-08-07,-0.109202270723979,75.47169811320755,-0.08132306659194798,71.69811320754717,-0.3553913455355138,31.132075471698112,59.43396226415094,False,NAO_CONFIRMA
COGN3,Consumer Defensive,2026-08-07,-0.1323341939515785,42.924528301886795,-0.2293170982812953,18.39622641509434,-0.4199075562076585,19.81132075471698,27.044025157232706,False,NAO_CONFIRMA
CPFE3,Utilities,2026-08-07,-0.14086387030252082,7.0754716981132075,-0.06629740053349162,78.30188679245283,-0.05791969847352752,78.30188679245283,54.55974842767296,False,NAO_CONFIRMA
CPLE3,Utilities,2026-08-07,-0.14282538333990014,2.8301886792452833,-0.16220975521816644,47.16981132075472,-0.015208259134300874,83.9622641509434,44.65408805031446,False,NAO_CONFIRMA
CSAN3,Energy,2026-08-07,-0.1323341939515785,42.924528301886795,-0.2293170982812953,18.39622641509434,-0.38532926667028866,27.358490566037734,29.559748427672957,False,NAO_CONFIRMA
CSED3,Consumer Defensive,2026-08-07,-0.13480795540681956,30.18867924528302,-0.21940649199865309,28.30188679245283,-0.34981232229071735,33.0188679245283,30.50314465408805,False,NAO_CONFIRMA
CSMG3,Utilities,2026-08-07,0.01030309583195294,88.67924528301887,-0.11641560104795212,56.60377358490566,-0.037281757461419346,79.24528301886792,74.84276729559748,False,NAO_CONFIRMA
CSNA3,Basic Materials,2026-08-07,-0.1323341939515785,42.924528301886795,-0.23714424000200515,8.49056603773585,-0.47471137856125917,11.320754716981133,20.91194968553459,False,NAO_CONFIRMA
CURY3,Real Estate,2026-08-07,-0.12498860939516596,66.98113207547169,-0.11684526878444731,55.660377358490564,-0.341403273756157,37.735849056603776,53.459119496855344,False,NAO_CONFIRMA
CVCB3,Consumer Cyclical,2026-08-07,-0.1323341939515785,42.924528301886795,-0.25158111661349175,2.358490566037736,-0.5758695319958654,1.8867924528301887,15.723270440251573,False,NAO_CONFIRMA
CXSE3,Financial Services,2026-08-07,0.011390681129691277,92.45283018867924,-0.10320563728045325,62.264150943396224,-0.07118484742421337,76.41509433962264,77.0440251572327,False,NAO_CONFIRMA
CYRE3,Consumer Cyclical,2026-08-07,-0.13150786148016305,52.83018867924528,-0.20821816098527446,36.79245283018868,-0.32920618252593686,38.67924528301887,42.76729559748427,False,NAO_CONFIRMA
DASA3,Healthcare,2026-08-07,0.006217527082750808,83.9622641509434,0.2096380965423635,99.05660377358491,-0.06389094072827214,77.35849056603774,86.79245283018868,False,NAO_CONFIRMA
DESK3,Communication Services,2026-08-07,0.0060802366084345034,82.54716981132076,0.018567488917446962,90.56603773584906,0.17785184802662438,96.22641509433963,89.77987421383648,False,NAO_CONFIRMA
DIRR3,Real Estate,2026-08-07,-0.13072031893863514,57.54716981132076,-0.21940649199865309,28.30188679245283,-0.4182223994468793,21.69811320754717,35.84905660377358,False,NAO_CONFIRMA
DXCO3,Basic Materials,2026-08-07,-0.1376993806518738,14.622641509433961,-0.16655342546175078,46.22641509433962,-0.23068326036919407,51.886792452830186,37.57861635220126,False,NAO_CONFIRMA
ECOR3,Industrials,2026-08-07,-0.12824655748339409,62.735849056603776,-0.2234296922923734,22.641509433962266,-0.40752355274470914,23.58490566037736,36.320754716981135,False,NAO_CONFIRMA
EGIE3,Utilities,2026-08-07,-0.1376993806518738,14.622641509433961,-0.14163532096604142,49.056603773584904,-0.26983111596597875,46.22641509433962,36.63522012578616,False,NAO_CONFIRMA
EMBJ3,Industrials,2026-08-07,0.05906389248289916,97.16981132075472,-0.019286441892136283,87.73584905660378,-0.32856081417312216,39.62264150943396,74.84276729559748,False,NAO_CONFIRMA
ENEV3,Utilities,2026-08-07,0.0060802366084345034,82.54716981132076,-0.010618588357308984,88.67924528301887,0.026617188065708158,91.50943396226415,87.57861635220127,False,NAO_CONFIRMA
ENGI11,Utilities,2026-08-07,-0.1376993806518738,14.622641509433961,-0.12015779745086799,54.71698113207547,-0.2143224795131845,55.660377358490564,41.666666666666664,False,NAO_CONFIRMA
ENJU3,Consumer Cyclical,2026-08-07,-0.12303729496453122,69.81132075471697,-0.23384336861013966,12.735849056603774,-0.4943585573245153,9.433962264150944,30.660377358490564,False,NAO_CONFIRMA
EQTL3,Utilities,2026-08-07,-0.1376993806518738,14.622641509433961,-0.0970391736543726,66.0377358490566,-0.18511506041851702,65.09433962264151,48.58490566037736,False,NAO_CONFIRMA
EVEN3,Real Estate,2026-08-07,-0.1323341939515785,42.924528301886795,-0.2293170982812953,18.39622641509434,-0.3724458740112136,29.71698113207547,30.345911949685533,False,NAO_CONFIRMA
EZTC3,Real Estate,2026-08-07,-0.13072031893863514,57.54716981132076,-0.13945698020844824,50.0,-0.34702637437332384,34.90566037735849,47.484276729559745,False,NAO_CONFIRMA
FESA4,Basic Materials,2026-08-07,-0.13522561919663273,22.641509433962266,-0.22233736311483546,23.58490566037736,-0.24597727924314206,50.0,32.07547169811321,False,NAO_CONFIRMA
FIQE3,Communication Services,2026-08-07,-0.007651707670676171,80.18867924528303,-0.1265620733049801,52.83018867924528,0.35756268159109517,100.0,77.67295597484276,False,NAO_CONFIRMA
FLRY3,Healthcare,2026-08-07,-0.09601295094142703,77.35849056603774,0.06665942539676578,95.28301886792453,-0.15503181983292713,70.75471698113208,81.13207547169812,False,NAO_CONFIRMA
FRAS3,Consumer Cyclical,2026-08-07,-0.1376993806518738,14.622641509433961,-0.21770447998010412,33.0188679245283,-0.3788057601092338,28.30188679245283,25.31446540880503,False,NAO_CONFIRMA
GFSA3,Consumer Cyclical,2026-08-07,0.07480043223906696,98.11320754716981,-0.03710604986787275,83.9622641509434,-0.16005375224762036,68.86792452830188,83.64779874213836,False,NAO_CONFIRMA
GGBR4,Basic Materials,2026-08-07,0.01030309583195294,88.67924528301887,0.060976965162564296,93.86792452830188,-0.012029967429103967,84.90566037735849,89.15094339622642,False,NAO_CONFIRMA
GGPS3,Industrials,2026-08-07,-0.13522561919663273,22.641509433962266,-0.2293170982812953,18.39622641509434,-0.26239744152961264,49.056603773584904,30.031446540880506,False,NAO_CONFIRMA
GMAT3,Consumer Cyclical,2026-08-07,-0.1376993806518738,14.622641509433961,-0.23677423972632206,11.320754716981133,-0.2767172987288595,45.28301886792453,23.742138364779876,False,NAO_CONFIRMA
GOAU4,Basic Materials,2026-08-07,0.01030309583195294,88.67924528301887,0.060976965162564296,93.86792452830188,-0.021532298173398527,80.18867924528303,87.57861635220127,False,NAO_CONFIRMA
GRND3,Consumer Cyclical,2026-08-07,-0.1376993806518738,14.622641509433961,-0.21390167884839972,34.90566037735849,-0.19603367935599136,61.32075471698113,36.94968553459119,False,NAO_CONFIRMA
HAPV3,Financial Services,2026-08-07,-0.13480795540681956,30.18867924528302,-0.21940649199865309,28.30188679245283,-0.44816800544859964,14.150943396226415,24.213836477987417,False,NAO_CONFIRMA
HBOR3,Real Estate,2026-08-07,-0.13480795540681956,30.18867924528302,-0.23714424000200515,8.49056603773585,-0.5044842612501503,8.49056603773585,15.723270440251573,False,NAO_CONFIRMA
HBRE3,Real Estate,2026-08-07,-0.1323341939515785,42.924528301886795,-0.23714424000200515,8.49056603773585,-0.5758695319958654,1.8867924528301887,17.767295597484274,False,NAO_CONFIRMA
HBSA3,Industrials,2026-08-07,-0.13480795540681956,30.18867924528302,-0.21940649199865309,28.30188679245283,-0.31488632532669003,41.509433962264154,33.333333333333336,False,NAO_CONFIRMA
HYPE3,Healthcare,2026-08-07,-0.13480795540681956,30.18867924528302,-0.18989360980588704,42.45283018867924,-0.4249264693116416,18.867924528301888,30.503144654088047,False,NAO_CONFIRMA
IGTI11,Real Estate,2026-08-07,-0.13072031893863514,57.54716981132076,-0.10401890882083244,59.43396226415094,-0.3019866344185114,42.45283018867924,53.14465408805031,False,NAO_CONFIRMA
INTB3,Industrials,2026-08-07,-0.12498860939516596,66.98113207547169,-0.0632299521423386,80.18867924528303,-0.38763243019657423,26.41509433962264,57.861635220125784,False,NAO_CONFIRMA
IRBR3,Financial Services,2026-08-07,-0.12577615193669386,64.15094339622641,-0.12681377803907964,51.886792452830186,-0.2143224795131845,55.660377358490564,57.232704402515715,False,NAO_CONFIRMA
ISAE4,Utilities,2026-08-07,-0.12498860939516596,66.98113207547169,-0.08030220138106253,72.64150943396226,0.005629948384220802,88.67924528301887,76.1006289308176,False,NAO_CONFIRMA
ITSA4,Industrials,2026-08-07,-0.14282538333990014,2.8301886792452833,-0.18510935444615884,43.39622641509434,-0.009761012690911893,85.84905660377359,44.0251572327044,False,NAO_CONFIRMA
ITUB3,Financial Services,2026-08-07,0.03310491199425749,95.28301886792453,-0.07886226620185381,73.58490566037736,-0.08795947614769282,75.47169811320755,81.44654088050315,False,NAO_CONFIRMA
ITUB4,Financial Services,2026-08-07,-0.11740717690441824,72.16981132075472,-0.06548969302293113,79.24528301886792,-0.15542175983447368,69.81132075471697,73.74213836477988,False,NAO_CONFIRMA
JALL3,Consumer Defensive,2026-08-07,-0.1323341939515785,42.924528301886795,-0.2293170982812953,18.39622641509434,-0.3451019066201201,35.84905660377358,32.38993710691824,False,NAO_CONFIRMA
JHSF3,Real Estate,2026-08-07,0.009286425808228053,84.90566037735849,0.14103322808355367,97.16981132075472,0.2528597353895453,98.11320754716981,93.39622641509435,False,NAO_CONFIRMA
JSLG3,Industrials,2026-08-07,-0.11434658741738554,74.52830188679245,-0.06856276944988214,76.41509433962264,0.053296542438911944,94.33962264150944,81.76100628930817,False,NAO_CONFIRMA
KEPL3,Industrials,2026-08-07,-0.13522561919663273,22.641509433962266,-0.20937540851955538,35.84905660377358,-0.18171382215674456,66.98113207547169,41.82389937106918,False,NAO_CONFIRMA
KLBN11,Basic Materials,2026-08-07,-0.13150786148016305,52.83018867924528,-0.09567091884571212,67.9245283018868,-0.1066361251186126,74.52830188679245,65.0943396226415,False,NAO_CONFIRMA
KLBN3,Basic Materials,2026-08-07,-0.13150786148016305,52.83018867924528,-0.09567091884571212,67.9245283018868,-0.13564165402527903,71.69811320754717,64.15094339622641,False,NAO_CONFIRMA
KLBN4,Basic Materials,2026-08-07,-0.13150786148016305,52.83018867924528,-0.09567091884571212,67.9245283018868,-0.17399513882116108,67.9245283018868,62.89308176100629,False,NAO_CONFIRMA
LAVV3,Real Estate,2026-08-07,-0.1323341939515785,42.924528301886795,-0.2293170982812953,18.39622641509434,-0.43094775209785374,17.452830188679243,26.257861635220127,False,NAO_CONFIRMA
LEVE3,Consumer Cyclical,2026-08-07,-0.1287803913556445,60.84905660377359,-0.11139758130463721,57.54716981132076,-0.19648538828892861,60.37735849056604,59.59119496855346,False,NAO_CONFIRMA
LIGT3,Utilities,2026-08-07,-0.1323341939515785,42.924528301886795,-0.23714424000200515,8.49056603773585,-0.5173676539092255,5.660377358490567,19.0251572327044,False,NAO_CONFIRMA
LJQQ3,Consumer Cyclical,2026-08-07,-0.1323341939515785,42.924528301886795,-0.25158111661349175,2.358490566037736,-0.5173676539092255,5.660377358490567,16.9811320754717,False,NAO_CONFIRMA
LOGG3,Real Estate,2026-08-07,0.01030309583195294,88.67924528301887,-0.08875718629579124,69.81132075471697,0.23775148295335488,97.16981132075472,85.22012578616352,False,NAO_CONFIRMA
LREN3,Consumer Cyclical,2026-08-07,-0.13480795540681956,30.18867924528302,-0.23384336861013966,12.735849056603774,-0.4182223994468793,21.69811320754717,21.540880503144653,False,NAO_CONFIRMA
LWSA3,Technology,2026-08-07,-0.13150786148016305,52.83018867924528,-0.10151408766497223,64.15094339622641,-0.212234374919923,58.490566037735846,58.490566037735846,False,NAO_CONFIRMA
MBRF3,Consumer Defensive,2026-08-07,-0.13480795540681956,30.18867924528302,-0.21940649199865309,28.30188679245283,-0.4044754478780055,24.528301886792452,27.672955974842765,False,NAO_CONFIRMA
MDIA3,Consumer Defensive,2026-08-07,-0.1376993806518738,14.622641509433961,-0.19946480223691315,40.09433962264151,-0.23111848245425326,50.943396226415096,35.22012578616352,False,NAO_CONFIRMA
MDNE3,Real Estate,2026-08-07,-0.12498860939516596,66.98113207547169,-0.10345760997600156,61.32075471698113,-0.01916057917395731,82.0754716981132,70.12578616352201,False,NAO_CONFIRMA
MELK3,Real Estate,2026-08-07,-0.1376993806518738,14.622641509433961,-0.19946480223691315,40.09433962264151,-0.2132076744681249,57.54716981132076,37.42138364779874,False,NAO_CONFIRMA
MGLU3,Consumer Cyclical,2026-08-07,-0.1323341939515785,42.924528301886795,-0.23325670979323895,14.150943396226415,-0.39670212000537647,25.471698113207548,27.51572327044025,False,NAO_CONFIRMA
MILS3,Industrials,2026-08-07,0.01030309583195294,88.67924528301887,0.059246957151913325,92.45283018867924,-0.020318357898043208,81.13207547169812,87.42138364779873,False,NAO_CONFIRMA
MLAS3,Technology,2026-08-07,0.01030309583195294,88.67924528301887,-0.04833768647889178,82.0754716981132,-0.018209663760294474,83.01886792452831,84.59119496855347,False,NAO_CONFIRMA
