ticker,name,close,change,volume,market_cap,logo,sector,subsector,type,subtype,asset_class,turnover_proxy,price_now,ret_21d,ret_63d,ret_126d,ret_252d,volatility,max_drawdown,ma50,ma200,avg_daily_value,dividend_yield_12m,dividend_months_12m,relative_strength_6m,trend_confirm,fundamental_coverage,momentum_score,risk_score,liquidity_score,trend_score,roe,profit_margin,revenue_growth,earnings_growth,debt_to_equity,forward_pe,price_to_book,quality_score,growth_score,valuation_score,opportunity_score,income_score,class_percentile,regime,regime_score,global_opportunity_score,entry_watch_low,entry_watch_high,signal,strengths,risks
VTRU3,Vitru Educação S.A.,,,,,,,,,,AÇÃO B3,,12.699999809265137,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,80.10714285714286,,100.0,RISK_OFF,,92.72410714285715,12.222798563355182,12.699999809265137,WATCHLIST,,"trend,market"
A1MD34,A1MD34,334.73,6.74,60834.0,4100373135205.408,https://icons.brapi.dev/icons/BRAPI.svg,Electronic Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,20362964.82,334.7300109863281,-0.0052895864242986645,0.2513271438741238,1.4039787258034946,1.8682949420708623,0.7748810799765967,-0.2859002379030674,328.6847998046875,210.46040004730224,30884429.389048744,0.0,0.0,1.271329468102343,True,False,97.5925925925926,16.018518518518523,96.66666666666667,100.0,,,,,,,,,,,70.47562962962964,,100.0,RISK_ON,85.0,92.59512592592593,312.26739459422646,334.7300109863281,AVALIAR_COMPRA,"momentum, liquidez, tendência positiva",risco elevado
JHSF3,JHSF Participações S.A.,,,,,,,,,,AÇÃO B3,,10.81999969482422,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,76.61764705882354,,99.39393939393939,RISK_OFF,,92.01472816399286,10.359997478082446,10.81999969482422,WATCHLIST,,market
MUTC34,MUTC34,854.0,3.08,85591.0,5578426602007.28,https://icons.brapi.dev/icons/BRAPI.svg,Electronic Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,73094714.0,854.0,0.024804078199822888,0.32212008102841616,1.5601826828246308,6.936837977818643,1.0595027629960092,-0.3913592979845605,833.9015576171874,473.77165687561035,118869988.59246342,0.00037546604215456676,4.0,1.4275334251234792,True,False,98.39506172839505,8.888888888888886,99.62962962962963,100.0,,,,,,,,,,,69.33370370370369,,99.23076923076923,RISK_ON,85.0,91.82827920227919,775.6406912853267,854.0,AVALIAR_COMPRA,"momentum, liquidez, tendência positiva",risco elevado
JPMC34,JPMC34,188.8,0.36,32276.0,5019313473411.337,https://icons.brapi.dev/icons/BRAPI.svg,Finance,,bdr,bdr,AÇÃO GLOBAL / BDR,6093708.800000001,188.8000030517578,0.07321512628963966,0.2550907813918839,0.1507243551726296,0.21559530997727228,0.2243530309195621,-0.18443336976072733,173.8448977661133,162.77910331726073,6546170.833262126,0.01145813011140128,4.0,0.018075097471478063,True,False,77.1604938271605,45.37037037037037,89.81481481481481,100.0,,,,,,,,,,,69.16833333333332,,98.46153846153847,RISK_ON,85.0,91.25674358974359,185.13170538371148,188.8000030517578,AVALIAR_COMPRA,"momentum, liquidez, tendência positiva",nenhum alerta quantitativo principal
PETR4,Petróleo Brasileiro S.A. - Petrobras,,,,,,,,,,AÇÃO B3,,42.09000015258789,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,74.375,,98.7878787878788,RISK_OFF,,91.08589015151516,40.95880464307124,42.09000015258789,WATCHLIST,,market
COCA34,COCA34,76.53,1.23,25991.0,1955948053437.3374,https://icons.brapi.dev/icons/BRAPI.svg,Consumer Non-Durables,,bdr,bdr,AÇÃO GLOBAL / BDR,1989091.23,76.52999877929688,0.09172611191353375,0.1359125001288115,0.16564628913569557,0.23560068832399028,0.2682087631457721,-0.11285785296505557,71.18393249511719,65.96481395721436,2000485.9566239857,0.02383991936628073,4.0,0.03299703143454402,True,False,77.1604938271605,53.425925925925924,74.62962962962963,100.0,,,,,,,,,,,69.14744444444443,,97.6923076923077,RISK_ON,85.0,90.71410427350428,74.75239362246953,76.52999877929688,AVALIAR_COMPRA,"momentum, tendência positiva",nenhum alerta quantitativo principal
SEER3,Ser Educacional S.A.,,,,,,,,,,AÇÃO B3,,11.270000457763672,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,74.77380952380953,,98.18181818181819,RISK_OFF,,90.25137987012987,10.833896907924666,11.270000457763672,WATCHLIST,,"trend,market"
ISEN11,ISEN11,118.17,-0.3,14174.0,,https://icons.brapi.dev/icons/BRAPI.svg,,,fund,etf,ETF,1674941.58,118.16999816894531,-0.0019425958950121114,0.03485415222388921,0.06277538964186369,0.15197890485093524,0.07766035962946555,-0.019701352728119348,117.0699998474121,111.97034992218018,3833096.4726380846,0.0,0.0,0.18154527481986904,True,,78.08641975308642,96.11111111111111,84.07407407407408,100.0,,,,,,,,,,,88.41358024691357,,100.0,RISK_OFF,25.0,90.18271604938272,117.37523586909442,118.16999816894531,WATCHLIST,"momentum, risco controlado, liquidez, tendência positiva",regime desfavorável
ASML34,ASML34,175.37,0.11,35904.0,3685401187469.1665,https://icons.brapi.dev/icons/BRAPI.svg,Electronic Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,6296484.48,175.3699951171875,0.05008826076945838,0.25808912461860944,0.3028450943717056,1.44152292356969,0.531760707385395,-0.2276217747453243,166.77172821044923,134.66033973693848,5116747.533086868,0.004094354906722743,4.0,0.17019583667055405,True,False,91.5432098765432,23.425925925925927,86.85185185185185,100.0,,,,,,,,,,,68.65307407407407,,96.92307692307692,RISK_ON,85.0,90.07676866096865,167.29388624236336,175.3699951171875,AVALIAR_COMPRA,"momentum, liquidez, tendência positiva",risco elevado
