ticker,cnpj,company_name,sector,industry,market_cap,revenue,operating_income,net_income,equity,total_cash,total_debt,roe,operating_margin,profit_margin,debt_to_equity,revenue_growth,earnings_growth,earnings_yield,book_to_price,sales_yield,ev_to_ebit,raw_pe,raw_pb,raw_ev_ebitda,enterprise_value,ebitda,fcf,beta,trailing_eps,book_value_per_share,fundamental_source,price,avg_daily_volume_brl,pe,pb,ev_ebitda,fcf_yield,fcf_margin,debt_to_ebitda,ret_3m,ret_6m,ret_12m,price_to_ma50,price_to_ma200,volatility,max_drawdown,history_days,last_price_date
ABCB4,,Banco ABC Brasil S.A.,Financial Services,Banks - Regional,6063676416.0,2492614912.0,,1019867008.0,3739272450.584,13162109952.0,18647248896.0,0.14905,0.42564,0.40916002,4.986865531311492,0.122,-0.029,0.229919238798099,1.255163586097758,0.4110732072415389,,4.3493533,0.7967089,,11574694912.0,,,0.191,5.41,29.534,Yahoo Finance,23.530000686645508,16206993.872947693,4.349353176829114,0.7967089011527564,,,,,0.021446024805002795,-0.07298310749603787,,0.9960386773623692,1.0023789212472778,0.22937160434444845,-0.16909417210456534,251,2026-08-07 00:00:00+00:00
ABEV3,,Ambev S.A.,Consumer Defensive,Beverages - Brewers,239209250816.0,88268292096.0,26785636352.0,16246909952.0,88312723945.065,18346395648.0,2948960000.0,0.184,0.23743,0.18406,0.0333922437024409,0.003,0.246,0.0665374686458813,0.3691860625025358,0.3690003283522511,8.377319112795517,15.029126,2.7086613,8.377,224391823360.0,26785636352.0,19859091456.0,0.262,1.03,5.715,Yahoo Finance,15.479999542236328,420111062.5767708,15.029125769161483,2.7086613372242043,8.377319112795517,0.08301974688794805,0.2249855637220372,-0.5748392700347521,-0.04473210583351761,0.014581904177629834,,0.9644672682035378,1.044985205410605,0.2530576435579273,-0.1357057309877837,251,2026-08-07 00:00:00+00:00
ALLD3,,Allied Tecnologia S.A.,Technology,Software - Application,441423072.0,5466923008.0,507750016.0,342337984.0,1539510922.048,290420000.0,487420000.0,0.2181,0.04145,0.06262,0.3166070425480248,-0.031,0.638,0.758695638319471,3.4876085095276057,12.38476952106391,1.257357006168957,1.3180516,0.28672943,1.257,638423040.0,507750016.0,359893248.0,0.433,3.49,16.043,Yahoo Finance,4.599999904632568,1515722.9685759544,1.3180515486053204,0.2867294087535105,1.257357006168957,0.8153023048147334,0.06583104380166899,0.3879862014617839,-0.25081433148865695,-0.4117647309903718,,0.9484926969849952,0.6890578818437801,0.29966437944165847,-0.45638964476642463,251,2026-08-07 00:00:00+00:00
ALOS3,,Allos S.A.,Real Estate,Real Estate Services,13473802240.0,2976561920.0,2121271040.0,934540992.0,12989664779.06,44899000.0,7262720000.0,0.07586,0.45057,0.31397,0.5591152753770731,0.034,0.608,0.0701559032544481,0.9640683065532832,0.2209147697866166,9.799222443540266,14.253968,1.0372709,9.799,20786806784.0,2121271040.0,1275234944.0,0.123,1.89,25.972,Yahoo Finance,26.940000534057617,128542820.64822832,14.253968536538423,1.0372709276935783,9.799222443540266,0.09464551440529381,0.4284254714916194,3.4025925324469615,-0.06641077487279279,-0.07710712156774291,,0.9972030146209394,0.9810450437707247,0.2525513591698744,-0.20153660695480813,251,2026-08-07 00:00:00+00:00
ALPA4,,Alpargatas S.A.,Consumer Cyclical,Footwear & Accessories,9189610496.0,4701848064.0,748193024.0,619256000.0,1665849219.816,794729024.0,1425351040.0,0.16464001,0.18279,0.1317,0.8556302833682846,0.125,0.439,0.0635624584102889,0.3624537889541772,0.5116482429855534,11.954197402407216,15.732557,2.7589724,11.954,8944047104.0,748193024.0,372875872.0,0.545,0.86,4.904,Yahoo Finance,13.529999732971191,21587182.2239542,15.732557829036269,2.7589722130854795,11.954197402407216,0.04057580810006074,0.07930410913422489,0.8428600585294952,0.18165938500915568,-0.07265252971424285,,1.103732931980609,1.1182824596679781,0.41331302771493794,-0.3169364488278891,251,2026-08-07 00:00:00+00:00
ALUP11,,Alupar Investimento S.A.,Utilities,Utilities - Renewable,15249531904.0,4429787136.0,2895634944.0,1114849024.0,9286907322.684,3771163904.0,14571642880.0,0.12679,0.58217996,0.25167,1.5690522553625166,0.026,-0.338,0.1301621833821159,0.8787897588653629,0.2904867614223655,8.65430603672118,7.682723,1.1379286,8.654,25059710976.0,2895634944.0,212023376.0,0.141,4.173,28.174,Yahoo Finance,32.060001373291016,26983781.055850983,7.682722591251142,1.1379286353833682,8.65430603672118,0.013903598965184342,0.04786310707278193,3.729917335878096,-0.07329333864223952,-0.04595131322873269,,0.9827844549252833,0.9632832720540133,0.20450312210654653,-0.15304466159239594,251,2026-08-07 00:00:00+00:00
AMAR3,,Marisa Lojas S.A.,Consumer Cyclical,Apparel Retail,287553696.0,1471777024.0,190866000.0,-158160992.0,128885676.501,10626000.0,818550976.0,-0.76019996,-0.0296,-0.10746,6.3509848279661165,-0.038,,-0.5500224625873006,0.4482142650644142,5.118268498972797,5.739436547106346,,2.2310758,5.739,1095463296.0,190866000.0,49699500.0,0.75,-0.31,0.251,Yahoo Finance,0.5600000023841858,110126.80046886206,,2.2310757067099036,5.739436547106346,0.17283554581750185,0.03376836245542586,4.23294340532101,-0.3170731618672449,-0.4166666511446234,,0.9286898867660615,0.6453471677856409,0.4492339157163131,-0.6131387083612612,251,2026-08-07 00:00:00+00:00
AMBP3,,Ambipar Participações e Empreendimentos S.A.,Industrials,Waste Management,267086304.0,7243013120.0,1511120000.0,-102926000.0,1095053931.68,4684887040.0,12038006784.0,-0.01345,0.19054002,-0.01421,10.9930720631555,0.252,,-0.3853660725336182,4.100000151700006,27.11862424813816,5.752649605590555,,0.24390243,5.753,8692943872.0,1511120000.0,270498112.0,0.314,-0.06,0.656,Yahoo Finance,0.1599999964237213,783413.5824893415,,0.2439024335727459,5.752649605590555,1.0127741780424653,0.037346075109691367,4.866006501138228,-0.2000000298023219,-0.428571443776695,,0.9685229749024398,0.6721276890386347,1.5169168764808032,-0.99076354630083,251,2026-08-07 00:00:00+00:00
AMER3,,Americanas S.A.,Consumer Cyclical,Internet Retail,831013632.0,12824999936.0,1194000000.0,209000000.0,4430003233.028,550000000.0,5593999872.0,0.04694,-0.06574,-0.00811,1.2627529998835654,0.202,,0.6337349269316304,5.330843047773043,15.432959751976728,4.920449500837521,1.5779468,0.18758759,4.92,5875016704.0,1194000000.0,-350375008.0,-0.361,2.63,22.123,Yahoo Finance,4.150000095367432,7226056.249388853,1.5779468043222173,0.187587582848955,4.920449500837521,-0.42162365875605756,-0.02731968886927564,4.224455504187604,-0.22574627015048399,-0.238532065943869,,0.9680429377499148,0.7964304754084842,0.6319613308134667,-0.5799256216727755,251,2026-08-07 00:00:00+00:00
ANIM3,,Ânima Holding S.A.,Consumer Defensive,Education & Training Services,827513856.0,4103977984.0,1232924032.0,134244000.0,2388832216.01,1732163968.0,5916947968.0,0.08737001,0.29108998,0.03271,2.4769207013973182,0.077,0.12,0.1643835706511545,2.886757858577617,4.95940696852815,4.501526387637158,6.083333,0.34640938,4.502,5550040064.0,1232924032.0,246428624.0,0.716,0.36,6.322,Yahoo Finance,2.190000057220459,20593001.23805523,6.083333492279053,0.3464093731762827,4.501526387637158,0.2977939550053891,0.06004628313327716,3.394194525685099,-0.39669421813289496,-0.5330463753713937,,0.841595593331272,0.6086353457579123,0.691495812293223,-0.626746210773917,251,2026-08-07 00:00:00+00:00
