ticker,name,close,change,volume,market_cap,logo,sector,subsector,type,subtype,asset_class,turnover_proxy,price_now,ret_21d,ret_63d,ret_126d,ret_252d,volatility,max_drawdown,ma50,ma200,avg_daily_value,dividend_yield_12m,dividend_months_12m,relative_strength_6m,trend_confirm,fundamental_coverage,momentum_score,risk_score,liquidity_score,trend_score,roe,profit_margin,revenue_growth,earnings_growth,debt_to_equity,forward_pe,price_to_book,quality_score,growth_score,valuation_score,opportunity_score,income_score,class_percentile,regime,regime_score,global_opportunity_score,entry_watch_low,entry_watch_high,signal,strengths,risks,atr14,ma20_live,ma50_live,ma200_live,high_52w,low_52w,ret_1d,ret_21d_live,ret_63d_live,vol20,vol126,buy_zone_low,buy_zone_high,do_not_chase_above,invalidation_price,risk_to_invalidation_pct,review_price_2R,review_price_3R,price_in_buy_zone,price_above_buy_zone,price_overextended,volatility_spike,gap_risk,hard_failures,cautions,forward_evidence,current_portfolio_weight,max_position_pct,base_pass,news_check,news_veto_reason,why_buy,why_not,final_decision,max_buy_price,suggested_total_position_pct,suggested_initial_position_pct,previous_positive_weeks,previous_weeks_observed,plain_language
TSMC34,TSMC34,268.29,-0.22,77413.0,9750470954591.328,https://icons.brapi.dev/icons/BRAPI.svg,Electronic Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,20769133.770000003,268.2900085449219,-0.0418556509123121,0.0901639705095016,0.2560822208182134,0.6863464345294739,0.4364984460222039,-0.2147594652360047,274.0073391723633,233.7457147216797,29087836.82227725,0.0067180325118153,4.0,0.1624052985259301,True,False,90.69471000637348,27.62906309751434,96.17590822179731,100.0,,,,,,,,,,,70.73904397705543,,100.0,RISK_ON,85.0,92.6478087954111,258.1481433668285,268.2900085449219,AVALIAR_COMPRA,"momentum, liquidez, tendência positiva",risco elevado,9.571428571428571,261.6130012512207,274.0073391723633,233.74571479797362,308.0299987792969,151.33057058407223,-0.00215712642837973,-0.04185565091231214,0.09016397050950165,0.4288838412260056,0.41742521440854385,257.3058583940778,268.7915726797921,274.53442982264926,263.0001963152204,0.0001844495671287863,263.14575398036413,263.1942732020787,True,False,False,False,False,radar marcou risco elevado; risk score abaixo de 60; fundamentos globais insuficientes,validação futura ainda curta,INSUFFICIENT,0.0,0.08,False,NOT_RUN,,"momentum forte, boa liquidez, tendência confirmada, regime favorável","radar marcou risco elevado, risk score abaixo de 60, fundamentos globais insuficientes, validação futura ainda curta",ESPERARIA,268.7915726797921,0.08,0.04,0,0,Eu não colocaria dinheiro agora; manteria no radar até os vetos/entrada melhorarem.
VTRU3,Vitru Educação S.A.,,,,,,,,,,AÇÃO B3,,12.710000038146973,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,79.16666666666667,,100.0,RISK_OFF,,92.5125,12.31435155954581,12.710000038146973,WATCHLIST,,"trend,market",0.44714273725237164,12.588500118255615,12.932200050354004,13.667099494934082,17.347901440113212,8.653987944779955,-0.011664045298196424,-0.04003019200403135,-0.06886444004783887,0.30809633126571884,0.4148327248679407,12.387285886492048,12.777071448734828,13.192142813546317,12.417985902513776,0.013049629117276357,12.91056419781276,13.074756962912423,True,False,False,False,False,regime de mercado RISK_OFF; tendência não confirmada; modelo B3 não liberou compra; modelo B3 possui gates falhando,validação futura ainda curta,INSUFFICIENT,0.0,0.08,False,NOT_RUN,,nenhuma vantagem quantitativa dominante,"regime de mercado RISK_OFF, tendência não confirmada, modelo B3 não liberou compra, modelo B3 possui gates falhando, validação futura ainda curta",ESPERARIA,12.777071448734828,0.08,0.04,0,0,Eu não colocaria dinheiro agora; manteria no radar até os vetos/entrada melhorarem.
NVDC34,NVDC34,23.55,0.86,4201961.0,27205123885703.285,https://icons.brapi.dev/icons/BRAPI.svg,Electronic Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,98956181.55,23.549999237060547,0.0882624723328673,0.0550147366471058,0.2263233922893774,0.1532207334203146,0.3633534814022549,-0.2197140379818214,21.907860527038576,20.993215055465697,101007792.23479274,0.0009001698805424,4.0,0.1326464699970941,True,False,87.25302740599108,29.82791586998088,99.4263862332696,100.0,,,,,,,,,,,70.41732313575525,,99.16666666666669,RISK_ON,85.0,92.00013129381772,22.808943532538485,23.549999237060547,AVALIAR_COMPRA,"momentum, liquidez, tendência positiva",risco elevado,0.7914282935006278,21.955500221252443,21.907860527038576,20.993215055465697,24.540170355782443,17.975475051557602,0.008565261341474617,0.08826247233286733,0.05501473664710588,0.38644073585748373,0.3628930416758925,21.59935748917716,22.549071441377915,23.02392841747829,20.997717989512854,0.04876714763544574,24.2272074168069,25.30370389257158,False,False,True,False,False,radar marcou risco elevado; risk score abaixo de 60; fundamentos globais insuficientes,validação futura ainda curta; preço acima da faixa ideal,INSUFFICIENT,0.0,0.08,False,NOT_RUN,,"momentum forte, boa liquidez, tendência confirmada, regime favorável","radar marcou risco elevado, risk score abaixo de 60, fundamentos globais insuficientes, validação futura ainda curta, preço acima da faixa ideal, preço esticado",ESPERARIA,22.549071441377915,0.08,0.04,0,0,Eu não colocaria dinheiro agora; manteria no radar até os vetos/entrada melhorarem.
SEER3,Ser Educacional S.A.,,,,,,,,,,AÇÃO B3,,12.020000457763672,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,75.62820512820512,,99.3975903614458,RISK_OFF,,91.7946594068582,11.740139791254808,12.020000457763672,WATCHLIST,,market,0.4221428462437221,11.912000036239624,11.547000045776366,11.083478875160218,14.130000114440918,7.784926902785131,-0.011513107845822268,0.014345997537669408,-0.05055287498911487,0.2304411100418902,0.46577113945782744,11.722035755429948,12.083321884700231,12.48189287866865,11.093357413155692,0.06799489586706094,13.521321633883884,14.330643040793282,True,False,False,False,False,regime de mercado RISK_OFF; confiança B3 abaixo de 75; modelo B3 não liberou compra; modelo B3 possui gates falhando,validação futura ainda curta,INSUFFICIENT,0.0,0.08,False,NOT_RUN,,tendência confirmada,"regime de mercado RISK_OFF, confiança B3 abaixo de 75, modelo B3 não liberou compra, modelo B3 possui gates falhando, validação futura ainda curta",ESPERARIA,12.083321884700231,0.08,0.04,0,0,Eu não colocaria dinheiro agora; manteria no radar até os vetos/entrada melhorarem.
A1MD34,A1MD34,305.8,-2.56,65110.0,4100294425369.6094,https://icons.brapi.dev/icons/BRAPI.svg,Electronic Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,19910638.0,305.79998779296875,-0.1252860913783217,0.0959394657591852,1.3027106985365466,1.558353475411686,0.7692780792642807,-0.2859002379030674,329.7439996337891,207.34144992828368,30846533.328174893,0.0,0.0,1.2090337762442631,True,False,95.53855959209687,15.678776290630973,96.5583173996176,100.0,,,,,,,,,,,69.56,,98.33333333333331,RISK_ON,85.0,91.24533333333332,285.42715350135165,305.79998779296875,AVALIAR_COMPRA,"momentum, liquidez, tendência positiva",risco elevado,24.387854439871653,321.31000061035155,329.7439996337891,207.34144992828368,377.7300109863281,99.31999969482422,-0.02564925331845236,-0.1252860913783217,0.09593946575918522,0.844442507857657,0.7238827171512527,294.8254532950265,309.4581659589495,354.2336041041783,301.69796702793667,0.0014689876902480741,303.02949482509064,303.47333742414196,True,False,False,False,False,radar marcou risco elevado; risk score abaixo de 60; volatilidade excessiva; fundamentos globais insuficientes,validação futura ainda curta,INSUFFICIENT,0.0,0.08,False,NOT_RUN,,"momentum forte, boa liquidez, tendência confirmada, regime favorável","radar marcou risco elevado, risk score abaixo de 60, volatilidade excessiva, fundamentos globais insuficientes, validação futura ainda curta",ESPERARIA,309.4581659589495,0.08,0.04,0,0,Eu não colocaria dinheiro agora; manteria no radar até os vetos/entrada melhorarem.
MUTC34,MUTC34,740.59,-2.81,144814.0,5110503455631.417,https://icons.brapi.dev/icons/BRAPI.svg,Electronic Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,107247800.26,740.5900268554688,-0.1266627041798718,0.1355579193332474,1.2485625459635514,6.387596982999731,1.064236776212257,-0.3913592979845605,834.6771789550781,463.8984581756592,118890077.20019723,0.0004329628922515,4.0,1.154885623671268,True,False,96.68578712555768,9.082217973231357,99.61759082217974,100.0,,,,,,,,,,,68.708068833652,,97.5,RISK_ON,85.0,90.4916137667304,672.3330964671028,740.5900268554688,AVALIAR_COMPRA,"momentum, liquidez, tendência positiva",risco elevado,68.7721426827567,756.4205047607422,834.6771789550781,463.89845840454103,1082.9664317907766,97.62070039458922,-0.028097077617495025,-0.1266627041798718,0.13555791933324746,1.1031764924130236,0.924956556734082,709.6425626482282,750.9058482578822,849.2628973824637,610.5283303397042,0.16397385286128482,969.7659556797571,1089.511830793108,True,False,False,False,False,radar marcou risco elevado; risk score abaixo de 60; volatilidade excessiva; drawdown excessivo; fundamentos globais insuficientes,validação futura ainda curta,INSUFFICIENT,0.0,0.08,False,NOT_RUN,,"momentum forte, boa liquidez, tendência confirmada, regime favorável","radar marcou risco elevado, risk score abaixo de 60, volatilidade excessiva, drawdown excessivo, fundamentos globais insuficientes, validação futura ainda curta",ESPERARIA,750.9058482578822,0.045738999658346095,0.022869499829173048,0,0,Eu não colocaria dinheiro agora; manteria no radar até os vetos/entrada melhorarem.
MILS3,"Mills Locação, Serviços e Logística S.A.",,,,,,,,,,AÇÃO B3,,15.600000381469728,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,73.61111111111111,,98.79518072289156,RISK_OFF,,90.41912650602409,15.472349299309853,15.600000381469728,WATCHLIST,,"valuation,market",0.15071426119123185,15.528000020980835,15.411000022888183,13.331302695274353,15.9399995803833,9.967715714017706,-0.0031948395066633273,0.00970877501983125,0.21590027078998864,0.08098833499468688,0.3041507728545484,15.460178603444781,15.622607520648414,15.731464273588998,15.237678622518267,0.019542291885662925,16.14882194110326,16.452536380631592,True,False,False,False,False,regime de mercado RISK_OFF; score fundamental B3 abaixo de 75; confiança B3 abaixo de 75; modelo B3 não liberou compra; modelo B3 possui gates falhando,validação futura ainda curta,INSUFFICIENT,0.0,0.08,False,NOT_RUN,,tendência confirmada,"regime de mercado RISK_OFF, score fundamental B3 abaixo de 75, confiança B3 abaixo de 75, modelo B3 não liberou compra, modelo B3 possui gates falhando, validação futura ainda curta",ESPERARIA,15.622607520648414,0.08,0.04,0,0,Eu não colocaria dinheiro agora; manteria no radar até os vetos/entrada melhorarem.
SPXR11,SPXR11,75.69,1.11,232940.0,,https://icons.brapi.dev/icons/BRAPI.svg,Miscellaneous,,fund,etf,ETF,17631228.599999998,75.69000244140625,0.0377022197416172,0.0710344474675095,0.1811797796286123,,0.1454826330792862,-0.0831285112153737,72.40179977416992,66.36400072097778,16650655.50929563,0.0,0.0,0.2307308569702092,True,,89.73868706182282,74.09177820267686,94.83747609942638,100.0,,,,,,,,,,,88.4840662842575,,100.0,RISK_OFF,25.0,90.1968132568515,74.73637156595785,75.69000244140625,WATCHLIST,"momentum, liquidez, tendência positiva",regime desfavorável,0.9564290727887835,73.0805004119873,72.40179977416992,66.36400072097778,75.81999969482422,58.97999954223633,0.01108738744706761,0.03770221974161725,0.07103444746750953,0.13931162773885267,0.1564130084781223,72.65010732923236,73.7978222165789,74.37167966025216,71.30190634046282,0.026249035249645447,77.06808163779121,78.990140070234,False,False,True,False,False,regime de mercado RISK_OFF,validação futura ainda curta; preço acima da faixa ideal,INSUFFICIENT,0.0,0.18,False,NOT_RUN,,"momentum forte, boa liquidez, tendência confirmada","regime de mercado RISK_OFF, validação futura ainda curta, preço acima da faixa ideal, preço esticado",ESPERARIA,73.7978222165789,0.18,0.04,0,0,Eu não colocaria dinheiro agora; manteria no radar até os vetos/entrada melhorarem.
RZLC11,RZLC11,1002.86,0.06,1033.0,,https://icons.brapi.dev/icons/BRAPI.svg,,,fund,fii,FII,1035954.38,1002.8599853515624,0.0119092356807539,0.0364850168554069,0.0753396076308343,0.1597423149026515,0.0063260756835661,-0.0111789034225451,988.9642443847656,947.1521884155272,902832.2768109036,0.1616243098413972,13.0,0.0915638156117237,True,,77.88400254939451,99.33078393881452,61.75908221797323,100.0,,,,,,,,,,,87.24227114784087,89.43514644351464,100.0,RISK_OFF,25.0,89.94845422956817,1002.3105642716816,1002.8599853515624,WATCHLIST,"momentum, risco controlado, tendência positiva",regime desfavorável,0.6047419338524703,997.4480651855469,988.9642443847656,947.1521878051758,1002.8599853515625,867.2887573242188,0.0005687050022595841,0.011909235680753971,0.03648501685540695,0.004130744315910717,0.02116970522825699,997.1759313153133,997.9016216359362,998.2644667962477,991.9419294706255,0.005610656083739656,1008.732470485623,1014.3293174906222,False,False,True,False,False,regime de mercado RISK_OFF,validação futura ainda curta; preço acima da faixa ideal,INSUFFICIENT,0.0,0.1,False,NOT_RUN,,"momentum forte, risco relativo controlado, renda/distribuições fortes, tendência confirmada","regime de mercado RISK_OFF, validação futura ainda curta, preço acima da faixa ideal, preço esticado",ESPERARIA,997.9016216359362,0.1,0.04,0,0,Eu não colocaria dinheiro agora; manteria no radar até os vetos/entrada melhorarem.
ASML34,ASML34,161.0,1.7,7616.0,3374953146993.8564,https://icons.brapi.dev/icons/BRAPI.svg,Electronic Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,1226176.0,161.0,-0.0423721422063341,0.1512055296466112,0.2437083747753643,1.3365695090551433,0.5504361778383778,-0.227621398436452,164.97927124023437,133.1631697845459,4978584.848564027,0.0044602795031055,4.0,0.150031452483081,True,False,92.2880815806246,22.46653919694073,86.23326959847036,100.0,,,,,,,,,,,68.60741873804969,,96.66666666666669,RISK_ON,85.0,89.88815041427661,153.32526341796228,161.0,AVALIAR_COMPRA,"momentum, liquidez, tendência positiva",risco elevado,7.502961992729474,159.40942306518554,164.97927124023437,133.1631700897217,190.30051596625944,67.99950111033006,0.016991993448870035,-0.04237214220633412,0.15120552964661127,0.4928403112344089,0.4773442520312314,156.03309016845728,162.12544429890943,169.53842175537034,156.35086494859547,0.017151212301474476,164.53607180385916,167.26447408894705,True,False,False,False,False,radar marcou risco elevado; risk score abaixo de 60; fundamentos globais insuficientes,validação futura ainda curta,INSUFFICIENT,0.0,0.08,False,NOT_RUN,,"momentum forte, boa liquidez, tendência confirmada, regime favorável","radar marcou risco elevado, risk score abaixo de 60, fundamentos globais insuficientes, validação futura ainda curta",ESPERARIA,162.12544429890943,0.08,0.04,0,0,Eu não colocaria dinheiro agora; manteria no radar até os vetos/entrada melhorarem.
AZIN11,AZIN11,98.43,0.26,9528.0,,https://icons.brapi.dev/icons/BRAPI.svg,Miscellaneous,,fund,fi-infra,FI-INFRA,937841.04,98.43000030517578,-0.0115115607498876,0.0225301258580483,0.0512279642207822,0.2034839926690688,0.1010954862207946,-0.0500265074154084,97.77328323364256,94.54121448516844,1121513.3003944517,0.1909986786722729,12.0,0.1007790415623791,True,,73.93244104525176,88.52772466539197,65.39196940726578,100.0,,,,,,,,,,,85.9974506054812,100.0,100.0,RISK_OFF,25.0,89.69949012109625,97.56823325745864,98.43000030517578,WATCHLIST,"risco controlado, tendência positiva",regime desfavorável,1.5707141331263952,97.76348457336425,97.77328262329101,94.54121501922607,100.24676115385988,81.52188738711433,0.0026484887550166647,-0.011511560749887684,0.022530125858048367,0.13135760392761175,0.09239651031915781,97.05666321345737,98.66560742514474,99.88394865308489,95.96696137019566,0.019355732415377032,101.64948321751184,103.54365716661724,True,False,False,False,False,regime de mercado RISK_OFF,validação futura ainda curta,INSUFFICIENT,0.0,0.08,False,NOT_RUN,,"risco relativo controlado, renda/distribuições fortes, tendência confirmada","regime de mercado RISK_OFF, validação futura ainda curta",ESPERARIA,98.66560742514474,0.08,0.04,0,0,Eu não colocaria dinheiro agora; manteria no radar até os vetos/entrada melhorarem.
BBSE3,BB Seguridade Participações S.A.,,,,,,,,,,AÇÃO B3,,38.380001068115234,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,72.07142857142857,,98.19277108433737,RISK_OFF,,89.65101118760757,37.56708885438608,38.380001068115234,WATCHLIST,,"valuation,market",0.8594030910310276,39.20190143585205,37.324065399169925,33.25060960769653,40.76568540563284,27.932000627104145,-0.015309403630688556,0.026805609957672782,0.17588703260618543,0.20963377013138065,0.19572116200776607,37.993269677151275,38.50891153176989,40.362095608743935,37.792178309751236,0.011997364975937045,39.168915193879286,39.627827488588636,True,False,False,False,False,regime de mercado RISK_OFF; score fundamental B3 abaixo de 75; confiança B3 abaixo de 75; modelo B3 não liberou compra; modelo B3 possui gates falhando,validação futura ainda curta,INSUFFICIENT,0.0,0.08,False,NOT_RUN,,tendência confirmada,"regime de mercado RISK_OFF, score fundamental B3 abaixo de 75, confiança B3 abaixo de 75, modelo B3 não liberou compra, modelo B3 possui gates falhando, validação futura ainda curta",ESPERARIA,38.50891153176989,0.08,0.04,0,0,Eu não colocaria dinheiro agora; manteria no radar até os vetos/entrada melhorarem.
ISEN11,ISEN11,117.86,0.05,58651.0,,https://icons.brapi.dev/icons/BRAPI.svg,,,fund,etf,ETF,6912606.86,117.86000061035156,0.0053740274279425,0.0325010865955315,0.0688310891298318,0.1508641382263569,0.0837709147462896,-0.0197013527281193,116.77940002441406,111.65044998168943,3932612.417279198,0.0,0.0,0.1183821664714287,True,,78.1389420012747,95.02868068833652,83.93881453154876,100.0,,,,,,,,,,,88.11536010197578,,99.1150442477876,RISK_OFF,25.0,89.50360299384647,117.00495293911852,117.86000061035156,WATCHLIST,"momentum, risco controlado, liquidez, tendência positiva",regime desfavorável,0.8321429661342076,117.78499984741211,116.77940002441406,111.65044998168945,118.98999786376953,102.36000061035156,0.0005093171225758475,0.005374027427942574,0.032501086595531525,0.10402961554669515,0.07945209090944363,117.41053551265172,117.98482205527169,118.90839285169329,115.82243561335972,0.015932711587660672,121.44816512516569,123.32340829576768,True,False,False,False,False,regime de mercado RISK_OFF,validação futura ainda curta,INSUFFICIENT,0.0,0.18,False,NOT_RUN,,"momentum forte, risco relativo controlado, boa liquidez, tendência confirmada","regime de mercado RISK_OFF, validação futura ainda curta",ESPERARIA,117.98482205527169,0.18,0.04,0,0,Eu não colocaria dinheiro agora; manteria no radar até os vetos/entrada melhorarem.
CAUT11,CAUT11,100.0,0.5,1158.0,,https://icons.brapi.dev/icons/BRAPI.svg,,,fund,fidc,FIDC,115800.0,100.0,0.0144156739109302,0.0275582415232247,0.0716692725539525,,0.0700985209785457,-0.015,98.81666549682618,94.83351161956789,240812.1493338933,0.12501867,9.0,0.1212203498955494,True,,77.75653282345444,96.94072657743786,38.4321223709369,100.0,,,,,,,,,,,84.59209687699172,100.0,100.0,RISK_OFF,25.0,89.41841937539834,99.39292900064864,100.0,WATCHLIST,"momentum, risco controlado, tendência positiva",regime desfavorável,1.5307143075125558,99.47853813171386,98.81666549682618,94.83350803375244,100.0,84.22374054012006,0.005025125628140614,0.014415673910930238,0.027558241523224725,0.08705670768696377,0.06257161888496587,98.7897166933332,100.22960714612688,101.54500244685582,97.05634404318674,0.02465406704448736,104.41629767281663,106.86961554935992,True,False,False,False,False,regime de mercado RISK_OFF; liquidez abaixo de 50,validação futura ainda curta,INSUFFICIENT,0.0,0.06,False,NOT_RUN,,"momentum forte, risco relativo controlado, renda/distribuições fortes, tendência confirmada","regime de mercado RISK_OFF, liquidez abaixo de 50, validação futura ainda curta",ESPERARIA,100.22960714612688,0.06,0.03,0,0,Eu não colocaria dinheiro agora; manteria no radar até os vetos/entrada melhorarem.
