date,gross_return,net_return,ibov_return,cdi_return,alpha_vs_ibov,excess_vs_cdi,turnover,n,tickers
2025-03-31,0.07823473413986064,0.07623473413986064,0.0369031168432365,0.010558796236773,0.039331617296624134,0.06567593790308764,1.0,10,"ABEV3,VALE3,TGMA3,TTEN3,GRND3,TAEE11,FRAS3,CMIG4,LAVV3,BMOB3"
2025-04-30,0.040754326920710446,0.04015432692071044,0.0145113166058326,0.0113877585481663,0.025643010314877843,0.02876656837254414,0.29999999999999993,10,"TGMA3,ABEV3,COGN3,TTEN3,VALE3,TAEE11,CMIG4,LAVV3,RDOR3,ITUB4"
2025-05-30,-0.005136080625715281,-0.005736080625715281,0.013340436556299,0.0109705127204056,-0.01907651718201428,-0.01670659334612088,0.29999999999999993,10,"ABEV3,TGMA3,COGN3,VALE3,ITUB4,VULC3,MILS3,TAEE11,RDOR3,BMOB3"
2025-06-30,-0.018050257830196547,-0.018250257830196546,-0.0416549638111699,0.012757325087479902,0.023404705980973353,-0.031007582917676448,0.09999999999999998,10,"MILS3,ABEV3,TGMA3,COGN3,VALE3,BMOB3,TAEE11,VULC3,TOTS3,ITUB4"
2025-07-31,0.05955828040809826,0.05935828040809826,0.062755972375649,0.011641561387978502,-0.003397691967550742,0.04771671902011976,0.09999999999999998,10,"MILS3,COGN3,ABEV3,TGMA3,VALE3,TAEE11,VULC3,SYNE3,ITUB4,BMOB3"
2025-08-29,0.015655512017133503,0.015255512017133504,0.03404703652897,0.0121992894971867,-0.0187915245118365,0.0030562225199468034,0.19999999999999996,10,"COGN3,MILS3,ABEV3,VALE3,VULC3,TAEE11,TGMA3,CMIG4,DIRR3,ITUB4"
2025-09-30,0.06543055216135538,0.06503055216135538,0.022586623084445097,0.0127573250874795,0.04244392907691028,0.05227322707387588,0.19999999999999996,10,"COGN3,MILS3,VALE3,TAEE11,VULC3,CMIG4,ABEV3,RDOR3,LAVV3,TGMA3"
2025-10-31,0.0852799340367466,0.08507993403674659,0.06374214257054969,0.0105270269352097,0.021337791466196895,0.07455290710153689,0.09999999999999998,10,"VALE3,MILS3,COGN3,TAEE11,ITUB4,TGMA3,LAVV3,RDOR3,ABEV3,CMIG4"
2025-11-28,0.001409864670347209,0.0008098646703472091,0.012906105411386098,0.0116415613879781,-0.01209624074103889,-0.01083169671763089,0.29999999999999993,10,"VALE3,COGN3,MILS3,VULC3,ABEV3,TAEE11,ISAE4,BMOB3,TGMA3,ITUB4"
2025-12-30,0.10059604891858995,0.09979604891858995,0.125610550814585,0.012199289497186901,-0.025814501895995046,0.08759675942140305,0.3999999999999999,10,"COGN3,VALE3,VULC3,MILS3,SYNE3,ITUB4,RDOR3,TAEE11,FIQE3,ECOR3"
2026-01-30,-0.01442538663716933,-0.01502538663716933,0.0409287399925013,0.009970220253081802,-0.05595412662967063,-0.024995606890251133,0.29999999999999993,10,"COGN3,VALE3,ABEV3,ITUB4,VULC3,SYNE3,FLRY3,MILS3,ECOR3,BPAC11"
2026-02-27,-0.06387863068776764,-0.06407863068776765,-0.007018491739367599,0.012120535925043802,-0.05706013894840005,-0.07619916661281145,0.09999999999999998,10,"FLRY3,VULC3,VALE3,ABEV3,ITUB4,COGN3,MILS3,SYNE3,BPAC11,BMOB3"
2026-03-31,0.022486888018908385,0.021486888018908384,-0.000768155679551,0.010900584045334002,0.022255043698459383,0.010586303973574383,0.5,10,"VULC3,MILS3,JHSF3,ABEV3,CBAV3,ITUB4,LOGG3,CSMG3,VALE3,ENEV3"
2026-04-30,-0.0036839401558249217,-0.0038839401558249218,-0.0722301113614282,0.010734353626207001,0.06834617120560328,-0.014618293782031923,0.09999999999999998,10,"MILS3,CBAV3,JHSF3,VULC3,ABEV3,BMOB3,CSMG3,VALE3,ITUB4,ENEV3"
2026-05-29,0.014216226595257769,0.013416226595257768,-0.0101502980643082,0.0111950389834862,0.02356652465956597,0.0022211876117715686,0.3999999999999999,10,"CXSE3,MILS3,LOGG3,ENEV3,ABEV3,VALE3,ORVR3,JHSF3,VULC3,OPCT3"
2026-06-30,-0.02288860784769379,-0.02328860784769379,0.0347335255545737,0.0121522028999234,-0.05802213340226749,-0.035440810747617194,0.19999999999999996,10,"CXSE3,MILS3,ENEV3,ABEV3,LOGG3,VALE3,ITUB4,ORVR3,TAEE11,JHSF3"
2026-07-31,-0.02026397794114711,-0.02066397794114711,-0.030820397867403697,0.002094172549929,0.010156419926256585,-0.02275815049107611,0.19999999999999996,10,"CXSE3,MILS3,ABEV3,LOGG3,JHSF3,ENEV3,VULC3,BMOB3,TAEE11,ITUB4"
