date,gross_return,net_return,ibov_return,cdi_return,alpha_vs_ibov,excess_vs_cdi,turnover,n,tickers
2025-03-31,0.09896789685357045,0.09696789685357045,0.0369031168432365,0.010558796236773,0.06006478001033395,0.08640910061679745,1.0,10,"SYNE3,TTEN3,VALE3,ABEV3,YDUQ3,ITUB4,MILS3,PSSA3,GRND3,CMIG4"
2025-04-30,0.06710595285732764,0.06670595285732764,0.0145113166058326,0.0113877585481663,0.052194636251495036,0.055318194309161337,0.19999999999999996,10,"SYNE3,ABEV3,COGN3,VALE3,ITUB4,YDUQ3,GRND3,MILS3,PSSA3,FLRY3"
2025-05-30,0.008848665693282309,0.00844866569328231,0.013340436556299,0.0109705127204056,-0.004891770863016691,-0.0025218470271232904,0.19999999999999996,10,"SYNE3,ABEV3,MILS3,ITUB4,VALE3,COGN3,TAEE11,CBAV3,YDUQ3,GRND3"
2025-06-30,-0.03389530013913648,-0.03409530013913648,-0.0416549638111699,0.012757325087479902,0.007559663672033416,-0.04685262522661639,0.09999999999999998,10,"SYNE3,ABEV3,MILS3,COGN3,ITUB4,VALE3,YDUQ3,TAEE11,CBAV3,LOGG3"
2025-07-31,0.027942643648102016,0.027742643648102017,0.062755972375649,0.011641561387978502,-0.03501332872754699,0.016101082260123516,0.09999999999999998,10,"SYNE3,ABEV3,MILS3,COGN3,ITUB4,TAEE11,CBAV3,VALE3,GRND3,YDUQ3"
2025-08-29,0.017285203219322608,0.016685203219322608,0.03404703652897,0.0121992894971867,-0.017361833309647395,0.004485913722135908,0.29999999999999993,10,"ABEV3,COGN3,CMIG4,MILS3,ITUB4,TAEE11,GRND3,VALE3,PSSA3,SANB11"
2025-09-30,0.053688051293990305,0.053488051293990306,0.022586623084445097,0.0127573250874795,0.03090142820954521,0.0407307262065108,0.09999999999999998,10,"COGN3,ABEV3,CMIG4,ITUB4,TAEE11,MILS3,VALE3,GRND3,SANB11,SUZB3"
2025-10-31,0.04438674940549459,0.044186749405494594,0.06374214257054969,0.0105270269352097,-0.0195553931650551,0.0336597224702849,0.09999999999999998,10,"ITUB4,COGN3,VALE3,CMIG4,MILS3,ABEV3,TAEE11,GRND3,MYPK3,SANB11"
2025-11-28,0.00717990013656577,0.006379900136565771,0.012906105411386098,0.0116415613879781,-0.006526205274820327,-0.005261661251412328,0.3999999999999999,10,"SYNE3,COGN3,ITUB4,VALE3,MILS3,VULC3,ABEV3,ECOR3,TAEE11,NATU3"
2025-12-30,0.1136142201403763,0.1136142201403763,0.125610550814585,0.012199289497186901,-0.011996330674208702,0.10141493064318939,0.0,10,"SYNE3,COGN3,ITUB4,VALE3,MILS3,VULC3,ECOR3,NATU3,TAEE11,ABEV3"
2026-01-30,-0.011114475826784539,-0.01131447582678454,0.0409287399925013,0.009970220253081802,-0.05224321581928584,-0.02128469607986634,0.09999999999999998,10,"SYNE3,COGN3,ITUB4,VALE3,MILS3,ABEV3,VULC3,ECOR3,NATU3,GRND3"
2026-02-27,-0.07052134803239414,-0.07072134803239415,-0.007018491739367599,0.012120535925043802,-0.06370285629302655,-0.08284188395743795,0.09999999999999998,10,"SYNE3,ITUB4,COGN3,MILS3,VULC3,NATU3,VALE3,ECOR3,PSSA3,ABEV3"
2026-03-31,-0.00491806091418194,-0.00591806091418194,-0.000768155679551,0.010900584045334002,-0.00514990523463094,-0.016818644959515943,0.5,10,"MILS3,VULC3,ITUB4,CBAV3,PSSA3,ENEV3,CMIG4,LOGG3,TAEE11,ABEV3"
2026-04-30,-0.02477126402883635,-0.025171264028836352,-0.0722301113614282,0.010734353626207001,0.04705884733259186,-0.035905617655043354,0.19999999999999996,10,"MILS3,VULC3,ITUB4,CBAV3,PSSA3,ENEV3,SANB11,CMIG4,TAEE11,VALE3"
2026-05-29,0.027212201953458283,0.026612201953458283,-0.0101502980643082,0.0111950389834862,0.036762500017766486,0.015417162969972083,0.29999999999999993,10,"CXSE3,MILS3,VULC3,SANB11,ITUB4,ENEV3,VALE3,TAEE11,ABEV3,LOGG3"
2026-06-30,-0.01457567312237627,-0.01457567312237627,0.0347335255545737,0.0121522028999234,-0.04930919867694997,-0.02672787602229967,0.0,10,"CXSE3,MILS3,SANB11,ITUB4,VULC3,ENEV3,TAEE11,VALE3,ABEV3,LOGG3"
2026-07-31,0.0011640191180723894,0.0011640191180723894,-0.030820397867403697,0.002094172549929,0.031984416985476084,-0.0009301534318566106,0.0,10,"CXSE3,MILS3,VULC3,ITUB4,ENEV3,VALE3,TAEE11,SANB11,ABEV3,LOGG3"
