ticker,name,close,change,volume,market_cap,logo,sector,subsector,type,subtype,asset_class,turnover_proxy,price_now,ret_21d,ret_63d,ret_126d,ret_252d,volatility,max_drawdown,ma50,ma200,avg_daily_value,dividend_yield_12m,dividend_months_12m,relative_strength_6m,trend_confirm,fundamental_coverage,momentum_score,risk_score,liquidity_score,trend_score,roe,profit_margin,revenue_growth,earnings_growth,debt_to_equity,forward_pe,price_to_book,quality_score,growth_score,valuation_score,opportunity_score,income_score,class_percentile,regime,regime_score,global_opportunity_score,entry_watch_low,entry_watch_high,signal,strengths,risks
NVDC34,NVDC34,23.55,0.86,4201961.0,27205123885703.285,https://icons.brapi.dev/icons/BRAPI.svg,Electronic Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,98956181.55,23.549999237060547,0.07879062388299318,0.0771951427300912,0.19765915348741747,0.14426382590038034,0.3811631036065925,-0.21971403798182143,21.933097801208497,20.9901238822937,101381021.92835769,0.0009001698805424679,4.0,0.10398223119513417,True,False,86.67941363926066,28.87189292543021,99.4263862332696,100.0,,,,,,,,,,,69.93923518164435,,100.0,RISK_ON,85.0,92.48784703632887,22.772620990426123,23.549999237060547,AVALIAR_COMPRA,"momentum, liquidez, tendência positiva",risco elevado
TSMC34,TSMC34,268.29,-0.22,77413.0,9750470954591.328,https://icons.brapi.dev/icons/BRAPI.svg,Electronic Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,20769133.770000003,268.2900085449219,-0.045570961509963315,0.06649955438815014,0.22745684339330685,0.6476281577818439,0.43920488687547765,-0.21475946523600475,274.2042367553711,233.47634620666503,28944118.2806256,0.006718032511815338,4.0,0.13377992110102355,True,False,88.59145952836202,27.34225621414914,96.17590822179733,100.0,,,,,,,,,,,69.8331931166348,,99.16666666666667,RISK_ON,85.0,91.88330528999363,258.0852603061979,268.2900085449219,AVALIAR_COMPRA,"momentum, liquidez, tendência positiva",risco elevado
COCA34,COCA34,73.67,0.3,23823.0,1918256463844.9695,https://icons.brapi.dev/icons/BRAPI.svg,Consumer Non-Durables,,bdr,bdr,AÇÃO GLOBAL / BDR,1755040.4100000001,73.66999816894531,0.04038978546758143,0.15692072859328166,0.12073740613489936,0.20225927389126475,0.27262806964243436,-0.11285785296505557,70.2306820678711,65.61279735565185,2037025.3720234463,0.02476542751930029,4.0,0.027060483842616057,True,False,80.36966220522625,50.5736137667304,74.37858508604207,100.0,,,,,,,,,,,69.62829827915868,,98.33333333333333,RISK_ON,85.0,91.25899298916507,71.93062863339871,73.66999816894531,AVALIAR_COMPRA,"momentum, tendência positiva",nenhum alerta quantitativo principal
A1MD34,A1MD34,305.8,-2.56,65110.0,4100294425369.6104,https://icons.brapi.dev/icons/BRAPI.svg,Electronic Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,19910638.0,305.79998779296875,-0.07822158916964961,0.10178346691577711,0.9218199923130683,1.506557276991547,0.7689500863434613,-0.2859002379030674,330.17839965820315,206.61084995269775,31158107.884401836,0.0,0.0,0.828143070020785,True,False,95.15615041427661,15.77437858508604,96.5583173996176,100.0,,,,,,,,,,,69.43418738049712,,97.5,RISK_ON,85.0,90.63683747609943,285.4358397561726,305.79998779296875,AVALIAR_COMPRA,"momentum, liquidez, tendência positiva",risco elevado
JPMC34,JPMC34,182.5,0.55,21297.0,4900974875225.873,https://icons.brapi.dev/icons/BRAPI.svg,Finance,,bdr,bdr,AÇÃO GLOBAL / BDR,3886702.5,182.5,0.06887662017386287,0.23132624289587,0.11131687061170492,0.1398976273513215,0.2266654561287015,-0.1844333004012655,170.14334747314453,162.08274963378906,6289641.076396882,0.01185367123287671,4.0,0.017639948319421617,True,False,79.54110898661567,42.638623326959845,88.91013384321224,100.0,,,,,,,,,,,69.26164435946461,,96.66666666666667,RISK_ON,85.0,90.0189955385596,178.91756071218686,182.5,AVALIAR_COMPRA,"momentum, liquidez, tendência positiva",nenhum alerta quantitativo principal
MUTC34,MUTC34,740.59,-2.81,144814.0,5110503455631.417,https://icons.brapi.dev/icons/BRAPI.svg,Electronic Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,107247800.26,740.5900268554688,-0.0873813593894408,0.21420933371439266,1.0208358575405323,6.341511373673751,1.070154086762019,-0.3913592979845605,836.2559497070313,461.3252947998047,119720101.52395096,0.0004329628922515543,4.0,0.927158935248249,True,False,97.45060548119822,9.082217973231355,99.61759082217974,100.0,,,,,,,,,,,69.01001912045889,,95.83333333333334,RISK_ON,85.0,89.38533715742513,671.9535780523014,740.5900268554688,AVALIAR_COMPRA,"momentum, liquidez, tendência positiva",risco elevado
AAPL34,AAPL34,79.31,-0.24,123919.0,23405378488793.633,https://icons.brapi.dev/icons/BRAPI.svg,Electronic Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,9828015.89,79.30999755859375,-0.01857669962271835,0.10219287749792216,0.12698624533675695,0.4246808665767481,0.3765584583860824,-0.15404492770185974,79.03603118896484,72.47526794433594,24115032.776046753,0.003034535460957431,5.0,0.03330932304447365,True,False,79.85978330146591,37.09369024856596,95.79349904397706,100.0,,,,,,,,,,,68.89858508604206,,95.0,RISK_ON,85.0,88.77971701720841,76.72362564460931,79.30999755859375,AVALIAR_COMPRA,"momentum, liquidez, tendência positiva",nenhum alerta quantitativo principal
D1EL34,D1EL34,2312.6,4.37,1234.0,1456469170770.0208,https://icons.brapi.dev/icons/BRAPI.svg,Electronic Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,2853748.4,2312.60009765625,0.0033244275197266138,0.9171104211449421,2.6251590148199515,2.2502410897169423,1.0359974799852358,-0.33976516396890044,2134.707541503906,1151.7978408813476,4891757.673632425,0.0035983852151669957,4.0,2.531482092527668,True,False,99.93626513702996,10.51625239005736,85.46845124282983,100.0,,,,,,,,,,,68.37376673040153,,94.16666666666667,RISK_ON,85.0,88.09142001274698,2105.1135854607746,2312.60009765625,AVALIAR_COMPRA,"momentum, liquidez, tendência positiva",risco elevado
ASML34,ASML34,161.0,1.7,7616.0,3374953146993.8564,https://icons.brapi.dev/icons/BRAPI.svg,Electronic Technology,,bdr,bdr,AÇÃO GLOBAL / BDR,1226176.0,161.0,-0.02939620773263707,0.14304087358762407,0.2096470053048256,1.2873816858945717,0.550646975801247,-0.22762139843645202,164.89279052734375,132.90796527862548,5024026.689105322,0.00446027950310559,4.0,0.1159700830125423,True,False,90.05736137667304,22.466539196940726,86.23326959847036,100.0,,,,,,,,,,,67.72673040152964,,93.33333333333333,RISK_ON,85.0,87.37867941363926,153.32232426006863,161.0,AVALIAR_COMPRA,"momentum, liquidez, tendência positiva",risco elevado
BOAC34,BOAC34,80.46,0.57,3481.0,2261515183341.889,https://icons.brapi.dev/icons/BRAPI.svg,Finance,,bdr,bdr,AÇÃO GLOBAL / BDR,280081.25999999995,80.45999908447266,0.06880978200281751,0.28801869559633797,0.13968802574951455,0.2984363991286756,0.23955252966295906,-0.2091017171486863,74.64060333251953,69.58473970413208,1067019.242176298,0.012972520654694225,4.0,0.04601110345723125,True,False,84.63989802421925,39.38814531548757,64.24474187380497,100.0,,,,,,,,,,,66.94130019120459,,92.5,RISK_ON,85.0,86.63826003824092,78.79078739912794,80.45999908447266,AVALIAR_COMPRA,"momentum, tendência positiva",nenhum alerta quantitativo principal
