date,horizon,top_fraction,n,precision,stock_return,net_alpha_vs_ibov,net_excess_vs_cdi,avg_model_score,fold
2023-07-10,20,0.25,27,0.5555555555555556,0.021149921512365562,0.006957487943323135,0.008996201142639168,0.3555041573159471,1
2023-08-07,20,0.25,27,0.37037037037037035,-0.04482275534267184,-0.033395045508528745,-0.05667597796718567,0.35402155605476476,1
2023-09-04,20,0.25,27,0.1111111111111111,-0.06683267858569311,-0.03183054743954408,-0.07852621176992272,0.3502424347322402,1
2023-10-03,20,0.25,27,0.18518518518518517,-0.050643698902178784,-0.06705045614743743,-0.06214209039614715,0.3495847194092768,1
2023-11-01,20,0.25,27,0.5925925925925926,0.16637072411758685,0.05094473783300496,0.15522865920324497,0.3495847194092768,1
2023-12-01,20,0.25,27,0.5185185185185185,0.05081730684385967,0.01188608743447807,0.039448654685796294,0.3504209529918932,1
2024-01-03,20,0.25,27,0.2222222222222222,-0.05944923864115192,-0.023190961392857028,-0.07023348311290423,0.350844553352231,1
2024-01-31,20,0.25,27,0.48148148148148145,0.029495144174868412,0.01631723697967767,0.019070212416217966,0.350844553352231,1
2024-03-01,20,0.25,27,0.4074074074074074,0.0075531645607976,0.02250625327422076,-0.0027455418786798986,0.34943733730521875,1
2024-04-01,20,0.25,27,0.14814814814814814,-0.07650074916742805,-0.08135136732633813,-0.08656507907313665,0.34980395785026464,1
2024-04-29,20,0.25,27,0.37037037037037035,-0.0018820122021518209,0.02416623203429521,-0.0118196665375662,0.3500231962912524,1
2024-05-28,20,0.25,27,0.4074074074074074,-0.0025904088970991816,0.004611400765204924,-0.012473778575462077,0.3480035477827825,1
2024-06-26,20,0.25,27,0.4444444444444444,0.04788267992994642,0.01504470567989956,0.037999310251583304,0.34797085512503534,1
2024-07-10,20,0.05,6,0.3333333333333333,-0.07009669372089693,-0.07442340849396371,-0.07998006339925982,0.3406857926506038,2
2024-08-07,20,0.05,6,0.3333333333333333,-0.12825860913348364,-0.19767865712821364,-0.13814197881184653,0.340875715275252,2
2024-09-04,20,0.05,6,0.16666666666666666,0.1490763206280831,0.16614898925883295,0.13910247489699126,0.34657399971888325,2
2024-10-02,20,0.05,6,0.16666666666666666,-0.06145883141781198,-0.041918180554613084,-0.07152316132352057,0.3524787608580205,2
2024-10-30,20,0.05,6,0.3333333333333333,-0.015309849261845865,0.02074157489173767,-0.025644618465927027,0.3471213463379084,2
2024-11-29,20,0.05,6,0.16666666666666666,-0.07622271074428483,-0.0341144254210522,-0.08799639068551707,0.3532575705439087,2
2025-01-02,20,0.05,6,0.5,0.05520291867370033,-0.003304885696747117,0.04402530777103655,0.3650590172389945,2
2025-01-30,20,0.05,6,0.16666666666666666,-0.07009575081787998,-0.05543867077091867,-0.08194897344239381,0.3540457679793348,2
2025-02-27,20,0.05,6,0.16666666666666666,-0.021838275392018786,-0.06759663884044388,-0.03397366832626482,0.34719493660176076,2
2025-03-31,20,0.05,6,0.8333333333333334,0.08806955538001948,0.04916643853678293,0.07551075914324601,0.35657160862226894,2
2025-04-30,20,0.05,6,0.8333333333333334,0.0823081639860593,0.05463942180625232,0.06946894744714023,0.35128323885564106,2
2025-05-29,20,0.05,6,0.3333333333333333,-0.01035832306450063,-0.0003179575224676028,-0.023320095708462996,0.3455353346075451,2
2025-06-27,20,0.05,6,0.16666666666666666,-0.08098261892863601,-0.05856457500246004,-0.0940667595190654,0.35623269352159453,2
2025-07-11,20,0.1,11,0.36363636363636365,0.004927244262616279,0.004939183728204032,-0.008156896327813114,0.33463253095170065,3
