ticker,sector,datetime,raw_score_20d,rank_score_20d,confirm_20d,raw_score_60d,rank_score_60d,confirm_60d,qlib_v4_ensemble_rank,qlib_v4_confirm,qlib_v4_status
ABCB4,Financial Services,2026-08-07,0.34578447537589063,77.83018867924528,False,0.32584008826903804,79.24528301886792,False,78.5377358490566,False,NAO_CONFIRMA
ABEV3,Consumer Defensive,2026-08-07,0.34578447537589063,77.83018867924528,False,0.32584008826903804,79.24528301886792,False,78.5377358490566,False,NAO_CONFIRMA
ALLD3,Technology,2026-08-07,0.34578447537589063,77.83018867924528,False,0.3150502666954791,38.20754716981132,False,58.0188679245283,False,NAO_CONFIRMA
ALOS3,Real Estate,2026-08-07,0.3510358319375635,96.69811320754717,True,0.3353529244199525,96.69811320754717,True,96.69811320754717,False,NAO_CONFIRMA
ALPA4,Consumer Cyclical,2026-08-07,0.32056896574043,7.547169811320755,False,0.3100890819830411,28.30188679245283,False,17.92452830188679,False,NAO_CONFIRMA
ALUP11,Utilities,2026-08-07,0.34578447537589063,77.83018867924528,False,0.32584008826903804,79.24528301886792,False,78.5377358490566,False,NAO_CONFIRMA
AMAR3,Consumer Cyclical,2026-08-07,0.3376043350315909,50.47169811320755,False,0.30508064877933444,10.377358490566039,False,30.424528301886795,False,NAO_CONFIRMA
AMBP3,Industrials,2026-08-07,0.3324370758578982,25.471698113207548,False,0.30508064877933444,10.377358490566039,False,17.924528301886795,False,NAO_CONFIRMA
AMER3,Consumer Cyclical,2026-08-07,0.3324370758578982,25.471698113207548,False,0.30939436355885536,24.056603773584907,False,24.764150943396228,False,NAO_CONFIRMA
ANIM3,Consumer Defensive,2026-08-07,0.3353566785280535,35.84905660377358,False,0.30508064877933444,10.377358490566039,False,23.11320754716981,False,NAO_CONFIRMA
ARML3,Industrials,2026-08-07,0.3324370758578982,25.471698113207548,False,0.32008100066621803,54.24528301886793,False,39.85849056603774,False,NAO_CONFIRMA
ASAI3,Consumer Defensive,2026-08-07,0.33731474773075043,41.0377358490566,False,0.30939436355885536,24.056603773584907,False,32.54716981132076,False,NAO_CONFIRMA
AURE3,Utilities,2026-08-07,0.34578447537589063,77.83018867924528,False,0.32008100066621803,54.24528301886793,False,66.0377358490566,False,NAO_CONFIRMA
AXIA3,Utilities,2026-08-07,0.34578447537589063,77.83018867924528,False,0.3389931420968527,99.05660377358491,True,88.4433962264151,False,NAO_CONFIRMA
